xWS	rho[g/cm^3]	n_e[pm^-3]	P[N/m^2]	mu_F_e[MeV]
1.53633e+02	6.23781e+08	1.82347e+02	2.47949e+25	2.98820e+00
1.57216e+02	5.82077e+08	1.70128e+02	2.25843e+25	2.90995e+00
1.60882e+02	5.43162e+08	1.58728e+02	2.05701e+25	2.83352e+00
1.64634e+02	5.06849e+08	1.48092e+02	1.87346e+25	2.75889e+00
1.68474e+02	4.72964e+08	1.38168e+02	1.70623e+25	2.68600e+00
1.72403e+02	4.41344e+08	1.28910e+02	1.55385e+25	2.61482e+00
1.76424e+02	4.11839e+08	1.20272e+02	1.41501e+25	2.54531e+00
1.80539e+02	3.84306e+08	1.12213e+02	1.28852e+25	2.47743e+00
1.84749e+02	3.58614e+08	1.04694e+02	1.17328e+25	2.41115e+00
1.89058e+02	3.34640e+08	9.76782e+01	1.06829e+25	2.34643e+00
1.93468e+02	3.12269e+08	9.11330e+01	9.72637e+24	2.28324e+00
1.97980e+02	2.91394e+08	8.50264e+01	8.85502e+24	2.22153e+00
2.02597e+02	2.71914e+08	7.99070e+01	8.14085e+24	2.16753e+00
2.07322e+02	2.53736e+08	7.46750e+01	7.42717e+24	2.10994e+00
2.12157e+02	2.36774e+08	6.96823e+01	6.76208e+24	2.05247e+00
2.17106e+02	2.20946e+08	6.51302e+01	6.16985e+24	1.99768e+00
2.22169e+02	2.06176e+08	6.07772e+01	5.61681e+24	1.94289e+00
2.27350e+02	1.92393e+08	5.67107e+01	5.11244e+24	1.88935e+00
2.32653e+02	1.79532e+08	5.29160e+01	4.65300e+24	1.83708e+00
2.38079e+02	1.67530e+08	4.93752e+01	4.23452e+24	1.78605e+00
2.43631e+02	1.56331e+08	4.60713e+01	3.85338e+24	1.73625e+00
2.49314e+02	1.45881e+08	4.29884e+01	3.50625e+24	1.68764e+00
2.55128e+02	1.36129e+08	4.01118e+01	3.19013e+24	1.64020e+00
2.61078e+02	1.27029e+08	3.74277e+01	2.90225e+24	1.59390e+00
2.67167e+02	1.18538e+08	3.49231e+01	2.64012e+24	1.54872e+00
2.73398e+02	1.10614e+08	3.25862e+01	2.40144e+24	1.50464e+00
2.79775e+02	1.03219e+08	3.04056e+01	2.18412e+24	1.46162e+00
2.86300e+02	9.63196e+07	2.83708e+01	1.98627e+24	1.41965e+00
2.92977e+02	8.98809e+07	2.64720e+01	1.80614e+24	1.37869e+00
2.99810e+02	8.38727e+07	2.47003e+01	1.64217e+24	1.33874e+00
3.06802e+02	7.82661e+07	2.30471e+01	1.49292e+24	1.29977e+00
3.13958e+02	7.30343e+07	2.15046e+01	1.35709e+24	1.26176e+00
3.21280e+02	6.81523e+07	2.00653e+01	1.23347e+24	1.22469e+00
3.28773e+02	6.35966e+07	1.87223e+01	1.12097e+24	1.18853e+00
3.36441e+02	5.93454e+07	1.74692e+01	1.01861e+24	1.15328e+00
3.44287e+02	5.53784e+07	1.62999e+01	9.25478e+23	1.11890e+00
3.52317e+02	5.16765e+07	1.52089e+01	8.40749e+23	1.08538e+00
3.60534e+02	4.82222e+07	1.41909e+01	7.63675e+23	1.05271e+00
3.68943e+02	4.49987e+07	1.32410e+01	6.93569e+23	1.02086e+00
3.77547e+02	4.19907e+07	1.23547e+01	6.29809e+23	9.89812e-01
3.86353e+02	3.91838e+07	1.15277e+01	5.71826e+23	9.59556e-01
3.95363e+02	3.65645e+07	1.07560e+01	5.19103e+23	9.30072e-01
4.04584e+02	3.41203e+07	1.00360e+01	4.71168e+23	9.01345e-01
