xWS	rho[g/cm^3]	n_e[pm^-3]	P[N/m^2]	mu_F_e[MeV]
1.00000e-03	2.26009e+24	1.20788e+07	6.36303e+36	1.39557e+02
1.02332e-03	2.10906e+24	1.20788e+07	5.93781e+36	1.39557e+02
1.04719e-03	1.96812e+24	1.20788e+07	5.54102e+36	1.39557e+02
1.07161e-03	1.83659e+24	1.20788e+07	5.17073e+36	1.39557e+02
1.09660e-03	1.71386e+24	1.20788e+07	4.82520e+36	1.39557e+02
1.12218e-03	1.59933e+24	1.20788e+07	4.50275e+36	1.39557e+02
1.14835e-03	1.49245e+24	1.20788e+07	4.20185e+36	1.39557e+02
1.17513e-03	1.39272e+24	1.20788e+07	3.92106e+36	1.39557e+02
1.20254e-03	1.29965e+24	1.20788e+07	3.65904e+36	1.39557e+02
1.23059e-03	1.21280e+24	1.20788e+07	3.41452e+36	1.39557e+02
1.25929e-03	1.13175e+24	1.20788e+07	3.18635e+36	1.39557e+02
1.28866e-03	1.05612e+24	1.20788e+07	2.97342e+36	1.39557e+02
1.31871e-03	9.85542e+23	1.20788e+07	2.77472e+36	1.39557e+02
1.34947e-03	9.19682e+23	1.20788e+07	2.58930e+36	1.39557e+02
1.38094e-03	8.58223e+23	1.20788e+07	2.41627e+36	1.39557e+02
1.41315e-03	8.00871e+23	1.20788e+07	2.25481e+36	1.39557e+02
1.44611e-03	7.47352e+23	1.20788e+07	2.10413e+36	1.39557e+02
1.47983e-03	6.97409e+23	1.20788e+07	1.96352e+36	1.39557e+02
1.51435e-03	6.50804e+23	1.20788e+07	1.83231e+36	1.39557e+02
1.54966e-03	6.07313e+23	1.20788e+07	1.70987e+36	1.39557e+02
1.58581e-03	5.66728e+23	1.20788e+07	1.59561e+36	1.39557e+02
1.62279e-03	5.28856e+23	1.20788e+07	1.48899e+36	1.39557e+02
1.66064e-03	4.93514e+23	1.20788e+07	1.38949e+36	1.39557e+02
1.69937e-03	4.60534e+23	1.20788e+07	1.29664e+36	1.39557e+02
1.73900e-03	4.29759e+23	1.20788e+07	1.20999e+36	1.39557e+02
1.77956e-03	4.01039e+23	1.20788e+07	1.12914e+36	1.39557e+02
1.82106e-03	3.74239e+23	1.20788e+07	1.05369e+36	1.39557e+02
1.86354e-03	3.49230e+23	1.20788e+07	9.83276e+35	1.39557e+02
1.90700e-03	3.25893e+23	1.20788e+07	9.17572e+35	1.39557e+02
1.95147e-03	3.04114e+23	1.20788e+07	8.56258e+35	1.39557e+02
1.99699e-03	2.83791e+23	1.20788e+07	7.99042e+35	1.39557e+02
