# r[m]	m[Msun]	rho[g/cm^3]	P[Pa]	ne[pm^-3]	np[pm^-3]	muF_e[MeV]	B
3.118933901398809492e-04	3.735407119624893915e-32	5.846091427908735350e+05	1.071443180671076663e+21	1.704551844170967001e-01	2.185067260405063744e-02	1.019473985558306817e-01	9.999999999469271206e-01
3.169663640115904699e-04	3.920658026137301424e-32	5.846091427908735350e+05	1.071443180671076663e+21	1.704551844170967001e-01	2.185067260405063744e-02	1.019473985558306817e-01	9.999999999469271206e-01
3.221218502568112753e-04	4.115096123567484642e-32	5.846091427908735350e+05	1.071443180671076663e+21	1.704551844170967001e-01	2.185067260405063744e-02	1.019473985558306817e-01	9.999999999469271206e-01
3.273611909466753265e-04	4.319177034392840790e-32	5.846091427908735350e+05	1.071443180671076663e+21	1.704551844170967001e-01	2.185067260405063744e-02	1.019473985558306817e-01	9.999999999469271206e-01
3.326857499812200213e-04	4.533378976881277669e-32	5.846091427908735350e+05	1.071443180671076663e+21	1.704551844170967001e-01	2.185067260405063744e-02	1.019473985558306817e-01	9.999999999469271206e-01
3.380969134444402279e-04	4.758203885689578909e-32	5.846091427908735350e+05	1.071443180671076663e+21	1.704551844170967001e-01	2.185067260405063744e-02	1.019473985558306817e-01	9.999999999469271206e-01
3.435960899651097924e-04	4.994178588035641681e-32	5.846091427908735350e+05	1.071443180671076663e+21	1.704551844170967001e-01	2.185067260405063744e-02	1.019473985558306817e-01	9.999999999469271206e-01
3.491847110834755724e-04	5.241856038201047147e-32	5.846091427908735350e+05	1.071443180671076663e+21	1.704551844170967001e-01	2.185067260405063744e-02	1.019473985558306817e-01	9.999999999469271206e-01
3.548642316239155052e-04	5.501816613256595091e-32	5.846091427908735350e+05	1.071443180671076663e+21	1.704551844170967001e-01	2.185067260405063744e-02	1.019473985558306817e-01	9.999999999469271206e-01
3.606361300736546545e-04	5.774669473046904716e-32	5.846091427908735350e+05	1.071443180671076663e+21	1.704551844170967001e-01	2.185067260405063744e-02	1.019473985558306817e-01	9.999999999469271206e-01
3.665019089676465193e-04	6.061053987621286768e-32	5.846091427908735350e+05	1.071443180671076663e+21	1.704551844170967001e-01	2.185067260405063744e-02	1.019473985558306817e-01	9.999999999469271206e-01
3.724630952797086713e-04	6.361641235455260424e-32	5.846091427908735350e+05	1.071443180671076663e+21	1.704551844170967001e-01	2.185067260405063744e-02	1.019473985558306817e-01	9.999999999469271206e-01
3.785212408200244478e-04	6.677135575973909055e-32	5.846091427908735350e+05	1.071443180671076663e+21	1.704551844170967001e-01	2.185067260405063744e-02	1.019473985558306817e-01	9.999999999469271206e-01
3.846779226391095798e-04	7.008276300061732275e-32	5.846091427908735350e+05	1.071443180671076663e+21	1.704551844170967001e-01	2.185067260405063744e-02	1.019473985558306817e-01	9.999999999469271206e-01
3.909347434383459948e-04	7.355839362426442283e-32	5.846091427908735350e+05	1.071443180671076663e+21	1.704551844170967001e-01	2.185067260405063744e-02	1.019473985558306817e-01	9.999999999469271206e-01
3.972933319871983174e-04	7.720639199876550777e-32	5.846091427908735350e+05	1.071443180671076663e+21	1.704551844170967001e-01	2.185067260405063744e-02	1.019473985558306817e-01	9.999999999469271206e-01
4.037553435472110235e-04	8.103530639772928057e-32	5.846091427908735350e+05	1.071443180671076663e+21	1.704551844170967001e-01	2.185067260405063744e-02	1.019473985558306817e-01	9.999999999469271206e-01
4.103224603029054576e-04	8.505410903126830170e-32	5.846091427908735350e+05	1.071443180671076663e+21	1.704551844170967001e-01	2.185067260405063744e-02	1.019473985558306817e-01	9.999999999469271206e-01
4.169963917996859465e-04	8.927221707038073941e-32	5.846091427908735350e+05	1.071443180671076663e+21	1.704551844170967001e-01	2.185067260405063744e-02	1.019473985558306817e-01	9.999999999469271206e-01
4.237788753888642956e-04	9.369951471399637792e-32	5.846091427908735350e+05	1.071443180671076663e+21	1.704551844170967001e-01	2.185067260405063744e-02	1.019473985558306817e-01	9.999999999469271206e-01
4.306716766799267024e-04	9.834637635040144199e-32	5.846091427908735350e+05	1.071443180671076663e+21	1.704551844170967001e-01	2.185067260405063744e-02	1.019473985558306817e-01	9.999999999469271206e-01
4.376765900001568189e-04	1.032236908673132245e-31	5.846091427908735350e+05	1.071443180671076663e+21	1.704551844170967001e-01	2.185067260405063744e-02	1.019473985558306817e-01	9.999999999469271206e-01
4.447954388617302132e-04	1.083428871675668951e-31	5.846091427908735350e+05	1.071443180671076663e+21	1.704551844170967001e-01	2.185067260405063744e-02	1.019473985558306817e-01	9.999999999469271206e-01
4.520300764364127756e-04	1.137159609502121855e-31	5.846091427908735350e+05	1.071443180671076663e+21	1.704551844170967001e-01	2.185067260405063744e-02	1.019473985558306817e-01	9.999999999469271206e-01
4.593823860379734930e-04	1.193555028197666178e-31	5.846091427908735350e+05	1.071443180671076663e+21	1.704551844170967001e-01	2.185067260405063744e-02	1.019473985558306817e-01	9.999999999469271206e-01
4.668542816124480956e-04	1.252747277895002584e-31	5.846091427908735350e+05	1.071443180671076663e+21	1.704551844170967001e-01	2.185067260405063744e-02	1.019473985558306817e-01	9.999999999469271206e-01
4.744477082363771168e-04	1.314875062478842947e-31	5.846091427908735350e+05	1.071443180671076663e+21	1.704551844170967001e-01	2.185067260405063744e-02	1.019473985558306817e-01	9.999999999469271206e-01
4.821646426231429995e-04	1.380083964607617247e-31	5.846091427908735350e+05	1.071443180671076663e+21	1.704551844170967001e-01	2.185067260405063744e-02	1.019473985558306817e-01	9.999999999469271206e-01
4.900070936375499567e-04	1.448526786854116797e-31	5.846091427908735350e+05	1.071443180671076663e+21	1.704551844170967001e-01	2.185067260405063744e-02	1.019473985558306817e-01	9.999999999469271206e-01
4.979771028187664466e-04	1.520363909764343141e-31	5.846091427908735350e+05	1.071443180671076663e+21	1.704551844170967001e-01	2.185067260405063744e-02	1.019473985558306817e-01	9.999999999469271206e-01
