R	M	xws0
271700.0	1.0890527441282636	1.0
318110.2031218642	1.1326825462584826	1.0689655172413792
368906.27714821626	1.184445453263898	1.1379310344827587
421621.8445844973	1.244242416222821	1.206896551724138
471821.30436528515	1.3026445176397607	1.2758620689655173
520436.6873077036	1.3238157378587487	1.3448275862068966
600093.971265284	1.3269544866256853	1.4137931034482758
698074.8321638001	1.3284058252801738	1.4827586206896552
810505.5765150383	1.3301590346451162	1.5517241379310345
939381.7505124963	1.332853823435816	1.6206896551724137
1085406.2735936579	1.337196248455643	1.6896551724137931
1249241.8485381436	1.3437000970673596	1.7586206896551724
1428712.1906618313	1.3517918125862316	1.8275862068965516
1618467.1061650203	1.3559334709232507	1.896551724137931
1834160.2216095328	1.3458056928638233	1.9655172413793103
2087241.9363867242	1.3305041874728878	2.0344827586206895
2365245.3348163953	1.3110009215505765	2.103448275862069
2682013.757194617	1.2849682030712652	2.1724137931034484
3028475.666382187	1.257611133626325	2.2413793103448274
3408847.250450837	1.227020016528843	2.310344827586207
3791973.650585654	1.1912241866455495	2.3793103448275863
4232424.923453086	1.1379688160764463	2.4482758620689653
4714094.322276451	1.076176450398012	2.5172413793103448
5238137.037472194	1.0067270274900082	2.586206896551724
5814922.5534703825	0.9303220506642623	2.655172413793103
6410292.1012679	0.8540197895982651	2.7241379310344827
7052295.021425712	0.7668811859785948	2.793103448275862
7759905.441037969	0.6757304366947062	2.862068965517241
8537073.968589365	0.5853977494174499	2.9310344827586206
9425359.8155653	0.5032301143889994	3.0
