R	M	log_10_P0
10240960.981264744	0.3928752435260241	21.5
9333519.633423032	0.4775756887403636	21.854166666666668
8481767.793062536	0.5719289254686952	22.208333333333332
7664214.320197692	0.6715660553128283	22.5625
6883629.8695575725	0.7740648356769866	22.916666666666668
6147740.180076888	0.8753477493512434	23.270833333333332
5451007.499674961	0.9678355433829571	23.625
4806300.766086857	1.0521112132477035	23.979166666666668
4211747.570916159	1.126363804537033	24.333333333333332
3670508.530110355	1.1898401449566702	24.6875
3184494.9441800313	1.2380759259970484	25.041666666666668
2743256.882368609	1.2684001279334398	25.395833333333332
2344961.689444692	1.2928633780863668	25.75
1995677.011031605	1.3157064622852443	26.104166666666668
1690475.3925459133	1.3333945923423194	26.458333333333336
1436069.7032595512	1.328046677846649	26.8125
1206276.3477573895	1.3136944836138458	27.166666666666668
1002919.8371158076	1.3032040242292182	27.520833333333336
834117.6558181073	1.3093378411052827	27.875
691369.2135192581	1.311562951510966	28.229166666666668
571732.5071431166	1.3118813967943053	28.583333333333336
478986.7479312278	1.2938971388554852	28.9375
412874.9419342455	1.2040010086846369	29.291666666666668
342185.282843578	1.1153227934491945	29.645833333333336
277106.4214724887	1.0544038058012672	30.0
