R	M	xws0
271900.0	1.0890927470301388	1.0
318330.1963467064	1.1327308811422125	1.0689655172413792
369269.2547905399	1.184502556225828	1.1379310344827587
422154.19539836666	1.244308306479545	1.206896551724138
472260.4802613745	1.302719807602483	1.2758620689655173
521080.792118728	1.3239002240117292	1.3448275862068966
600979.5881059943	1.3270542482812955	1.4137931034482758
699048.9806876123	1.3285258512580884	1.4827586206896552
812005.7190416394	1.3303022631699382	1.5517241379310345
941267.5858962105	1.3330233848512343	1.6206896551724137
1088258.5117708032	1.337396748162977	1.6896551724137931
1252664.4289450971	1.3439339722159938	1.7586206896551724
1433104.3669177075	1.3520644280417626	1.8275862068965516
1623988.529128483	1.3562510647849544	1.896551724137931
1841372.3582425173	1.3461765986993817	1.9655172413793103
2096845.169940815	1.3309429856690813	2.0344827586206895
2377645.650163975	1.3115224422297758	2.103448275862069
2698179.596379065	1.2855989527515697	2.1724137931034484
3049035.9598970767	1.2583844041815884	2.2413793103448274
3435741.508837043	1.2279862618148223	2.310344827586207
3825590.438268151	1.1924367629113983	2.3793103448275863
4276058.170086618	1.1395517806642776	2.4482758620689653
4771851.129331096	1.0783103854096097	2.5172413793103448
5312405.123244347	1.0096949399902815	2.586206896551724
5913347.105831118	0.9345871277724255	2.655172413793103
6538043.2358650025	0.8601606212029589	2.7241379310344827
7220206.80765017	0.7758472401245721	2.793103448275862
7973420.732545259	0.6887906443712573	2.862068965517241
8786342.119908517	0.6032823771804866	2.9310344827586206
9651999.542087188	0.5181746001124872	3.0
