R	M	log_10_P0
13431056.749281973	0.40102943563053073	21.5
11396965.78923546	0.4846647517933468	21.854166666666668
9846754.146594344	0.5774121388733015	22.208333333333332
8585090.38278133	0.6761520871058477	22.5625
7515479.589625312	0.7778143350484773	22.916666666666668
6584483.11044026	0.8781451704749704	23.270833333333332
5764435.710601799	0.9717233480994334	23.625
5030054.798080577	1.0552628189479958	23.979166666666668
4371169.915075716	1.1285385420037863	24.333333333333332
3782209.593861762	1.1904870911833854	24.6875
3263160.8683839487	1.238214264807908	25.041666666666668
2801313.019190945	1.2699849357038273	25.395833333333332
2388248.922931213	1.2951506611316779	25.75
2024914.3875714112	1.315249863294678	26.104166666666668
1708911.3556272974	1.3309098482400694	26.458333333333336
1450426.0498840783	1.3297296595951527	26.8125
1218656.9414001205	1.3182001823940883	27.166666666666668
1014379.08709381	1.3102434446942948	27.520833333333336
839718.4458331917	1.3057862380179508	27.875
692728.6155448566	1.303333361306922	28.229166666666668
570288.9812035194	1.3014460494443598	28.583333333333336
477024.6926401628	1.288216322599215	28.9375
413916.6785413125	1.215531228947571	29.291666666666668
346905.0798483187	1.1400220914058679	29.645833333333336
284123.0427432727	1.0782632022320742	30.0
