R	M	log_10_P0	g_surf_(m/s^2)
14016326.287823716	0.1495278925538025	20.0	50518.522297860356
12926946.030928852	0.19972517008398336	20.416666666666668	79328.93372324457
11833507.19237238	0.262128549276259	20.833333333333332	124242.29258439994
10759466.637578513	0.3389681610430755	21.25	194333.42788891727
9717142.278805448	0.43098332424075547	21.666666666666668	302926.2771097207
8718189.029772764	0.5374609862747493	22.083333333333332	469273.2446699238
7762068.52482225	0.6531034397292259	22.5	719332.3220598948
6852166.485140545	0.7733909603037642	22.916666666666668	1092971.8093570983
5996732.791847946	0.8916480755529832	23.333333333333332	1645067.7500178833
5205385.323212591	0.9991550171204343	23.75	2446196.207652844
4475599.425177092	1.092810869746135	24.166666666666668	3618592.875306824
3815415.898360964	1.1713024606901454	24.583333333333336	5335827.232404199
3229866.282193737	1.2320146102514697	25.0	7830105.786064077
2713650.525648764	1.2701659640532619	25.416666666666668	11433053.173508683
2256100.9820846333	1.299136493370837	25.833333333333336	16912539.530122764
1860887.051103513	1.3212681170278773	26.25	25272578.45406479
1532606.6219822087	1.3337382586056665	26.666666666666668	37592551.31528438
1257691.9290924908	1.3200658934599303	27.083333333333336	55221588.27148804
1016810.092024433	1.310133894101886	27.5	83789631.60005152
815301.3648529941	1.3050583889912928	27.916666666666668	129701679.59615844
650645.2585077616	1.3024923502333694	28.333333333333336	203011779.58004588
517737.33992976183	1.3001984821432737	28.75	319570930.96136534
435307.00353975483	1.2436033936027164	29.166666666666668	431936923.04204124
357347.6307213075	1.1522816228411183	29.583333333333336	593240161.896119
283220.9057227433	1.0781558264688451	30.0	882124388.250937
