r[m]	m[Msun]	rho[kg/m^3]	P[Pa]	ne[pm^-3]	np[pm^-3]	muF_e[MeV]	B
81.75230379436502	3.620957154663952e-10	314680303119616.3	8.659643233600654e+28	80882.62752043799	11658.33137303143	25.896274859349862	0.992014946376623
163.50460758873004	2.8967584992911904e-09	314678679421664.3	8.659615139060392e+28	80881.99847533247	11658.271024950569	25.89620728915327	0.992014946376623
245.25691138309506	9.77651008184687e-09	314675973294457.6	8.659568315330751e+28	80880.95008444677	11658.170446157752	25.896094672884228	0.992014946376623
327.0092151774601	2.3173782764336442e-08	314672184792998.1	8.659502763183958e+28	80879.48237457816	11658.029638700633	25.89593701166962	0.992014946376623
408.7615189718251	4.526087433677359e-08	314667313994045.56	8.659418483697225e+28	80877.59538314579	11657.848605436737	25.895734307076886	0.992014946376623
490.5138227661902	7.820990325140959e-08	314661360996265.3	8.659315478254846e+28	80875.28915825077	11657.627350039196	25.895486561120574	0.992014946376623
572.2661265605552	1.2419276380531546e-07	314654325920227.56	8.659193748548451e+28	80872.56375867219	11657.365876996573	25.89519377626226	0.992014946376623
654.0184303549203	1.853810813343136e-07	314646208908394.4	8.659053296577004e+28	80869.41925386281	11657.064191612435	25.89485595541027	0.992014946376623
735.7707341492853	2.639461674205275e-07	314637010125136.8	8.658894124646738e+28	80865.85572395269	11656.722300005911	25.894473101920514	0.992014946376623
817.5230379436504	3.6205897511581216e-07	314626729756709.5	8.658716235371081e+28	80861.87325973988	11656.340209110884	25.894045219595753	0.992014946376623
899.2753417380154	4.818900541833347e-07	314615368011252.7	8.658519631670532e+28	80857.4719626871	11655.917926675947	25.89357231268587	0.992014946376623
981.0276455323805	6.256095063595592e-07	314602925118782.06	8.65830431677255e+28	80852.65194491789	11655.455461264048	25.893054385887787	0.992014946376623
1062.7799493267455	7.953869406389085e-07	314589401331156.75	8.658070294211407e+28	80847.41332920124	11654.952822251358	25.892491444344458	0.992014946376623
1144.5322531211104	9.933914285833532e-07	314574796922095.25	8.65781756782805e+28	80841.75624895594	11654.410019827863	25.891883493645942	0.992014946376623
1226.2845569154754	1.2217914596591896e-06	314559112187156.6	8.657546141769925e+28	80835.68084823912	11653.827064996503	25.891230539828808	0.992014946376623
1308.0368607098403	1.4827548966032527e-06	314542347443702.9	8.657256020490804e+28	80829.18728173074	11653.20396957195	25.890532589375205	0.992014946376623
1389.7891645042052	1.7784489308208298e-06	314524503030913.44	8.656947208750599e+28	80822.27571473575	11652.540746181103	25.889789649213817	0.992014946376623
1471.5414682985702	2.1110400378175097e-06	314505579309747.56	8.656619711615149e+28	80814.94632316637	11651.837408261666	25.889001726718835	0.992014946376623
1553.2937720929351	2.482693932667222e-06	314485576662931.8	8.656273534456011e+28	80807.19929353331	11651.093970061675	25.888168829709844	0.992014946376623
1635.0460758873	2.8955755255187055e-06	314464495494952.25	8.65590868295023e+28	80799.03482294003	11650.310446639203	25.887290966452124	0.992014946376623
1716.798379681665	3.3518488771426374e-06	314442336232017.3	8.655525163080089e+28	80790.45311906417	11649.486853861012	25.886368145655666	0.992014946376623
1798.55068347603	3.85367715452167e-06	314419099322045.1	8.655122981132856e+28	80781.45440014909	11648.623208402078	25.885400376475253	0.992014946376623
1880.3029872703949	4.403222586485609e-06	314394785234639.7	8.654702143700525e+28	80772.03889498976	11647.71952774464	25.884387668510023	0.992014946376623
1962.0552910647598	5.0026464193939255e-06	314369394461082.7	8.654262657679518e+28	80762.20684292572	11646.775830177941	25.883330031803872	0.992014946376623
2043.8075948591247	5.654108872867893e-06	314342927514274.2	8.653804530270398e+28	80751.95849381399	11645.792134796086	25.88222747684373	0.992014946376623
2125.5598986534897	6.359769095574472e-06	314315384928744.8	8.653327768977571e+28	80741.29410802828	11644.768461498325	25.881080014560602	0.992014946376623
2207.312202447855	7.121785121064257e-06	314286767260610.8	8.652832381608944e+28	80730.21395643652	11643.704830987523	25.879887656328616	0.992014946376623
2289.06450624222	7.94231382366561e-06	314257075087538.4	8.652318376275612e+28	80718.71832038407	11642.60126476885	25.87865041396437	0.992014946376623
2370.816810036585	8.823510874437242e-06	314226309008741.94	8.651785761391496e+28	80706.80749168404	11641.457785149561	25.877368299727443	0.992014946376623
2452.5691138309503	9.767530697181389e-06	314194469644925.56	8.651234545672999e+28	80694.48177259263	11640.274415236965	25.87604132631903	0.992014946376623
2534.3214176253155	1.0776526424519839e-05	314161557638273.44	8.65066473813862e+28	80681.74147579711	11639.051178937958	25.874669506882277	0.992014946376623
2616.0737214196806	1.185264985403493e-05	314127573652406.25	8.65007634810858e+28	80668.58692439442	11637.788100957483	25.873252855001425	0.992014946376623
2697.826025214046	1.299805140447773e-05	314092518372358.44	8.649469385204416e+28	80655.01845187687	11636.485206797664	25.87179138470184	0.992014946376623
2779.578329008411	1.4214880072045594e-05	314056392504531.5	8.648843859348577e+28	80641.0364021053	11635.142522756012	25.870285110448926	0.992014946376623
2861.330632802776	1.550528338673121e-05	314019196776674.25	8.648199780764004e+28	80626.64112929808	11633.76007592476	25.868734047148404	0.992014946376623
2943.0829365971413	1.6871407368745377e-05	313980931937837.06	8.64753715997368e+28	80611.83299800406	11632.337894189093	25.86713821014535	0.992014946376623
3024.8352403915064	1.8315396485015565e-05	313941598758327.0	8.646856007800206e+28	80596.61238307982	11630.87600622554	25.865497615223394	0.992014946376623
3106.5875441858716	1.9839393605762506e-05	313901198029701.44	8.646156335365316e+28	80580.97966967965	11629.374441501668	25.863812278605568	0.992014946376623
3188.3398479802368	2.1445539961156878e-05	313859730564690.8	8.645438154089422e+28	80564.9352532195	11627.833230273336	25.862082216952267	0.992014946376623
3270.092151774602	2.313597509805826e-05	313817197197184.56	8.64470147569112e+28	80548.47953936167	11626.252403583936	25.86030744736157	0.992014946376623
3351.844455568967	2.491283683683853e-05	313773598782178.5	8.643946312186696e+28	80531.61294398879	11624.63199326262	25.858487987368395	0.992014946376623
3433.5967593633322	2.6778261228291616e-05	313728936195740.6	8.643172675889608e+28	80514.33589318319	11622.97203192306	25.856623854944367	0.992014946376623
3515.3490631576974	2.873438251063206e-05	313683210334963.0	8.642380579409977e+28	80496.64882319812	11621.272552961438	25.854715068496734	0.992014946376623
3597.1013669520626	3.078333306658409e-05	313636422117915.56	8.641570035654043e+28	80478.55218043436	11619.533590554975	25.852761646868036	0.992014946376623
3678.8536707464277	3.2927243380563734e-05	313588572483616.0	8.640741057823614e+28	80460.0464214176	11617.755179660593	25.85076360933585	0.992014946376623
3760.605974540793	3.516824199595556e-05	313539662391954.94	8.63989365941552e+28	80441.13201276236	11615.93735601221	25.84872097561111	0.992014946376623
3842.358278335158	3.750845547248664e-05	313489692823683.0	8.639027854221028e+28	80421.80943116	11614.080156120459	25.846633765839087	0.992014946376623
3924.110582129523	3.995000834369937e-05	313438664780342.0	8.638143656325267e+28	80402.07916333858	11612.18361726971	25.844502000597465	0.992014946376623
4005.8628859238884	4.24950230745255e-05	313386579284217.0	8.637241080106635e+28	80381.9417060405	11610.247777516654	25.842325700896165	0.992014946376623
4087.6151897182535	4.5145620018963216e-05	313333437378293.94	8.636320140236175e+28	80361.39756599207	11608.272675688451	25.840104888176647	0.992014946376623
4169.367493512618	4.790391737785954e-05	313279240126208.25	8.635380851676974e+28	80340.44725987919	11606.258351381133	25.83783958431162	0.992014946376623
4251.119797306983	5.0772031156799825e-05	313223988612183.8	8.634423229683519e+28	80319.0913143085	11604.204844956883	25.835529811603458	0.992014946376623
4332.872101101348	5.375207512410658e-05	313167683940996.3	8.633447289801063e+28	80297.33026578942	11602.112197543205	25.833175592784784	0.992014946376623
4414.624404895712	5.6846160768949434e-05	313110327237901.1	8.632453047864962e+28	80275.1646606917	11599.980451029794	25.830776951016517	0.992014946376623
4496.376708690077	6.0056397259568485e-05	313051919648592.8	8.631440520000008e+28	80252.59505522093	11597.80964806718	25.828333909887856	0.992014946376623
4578.129012484442	6.338489140161282e-05	312992462339145.6	8.63040972261976e+28	80229.62201538651	11595.599832064565	25.825846493415547	0.992014946376623
4659.8813162788065	6.683374759659623e-05	312931956495947.3	8.629360672425838e+28	80206.24611696419	11593.351047187278	25.82331472604256	0.992014946376623
4741.633620073171	7.040506780047228e-05	312870403325662.7	8.62829338640723e+28	80182.46794547199	11591.063338355494	25.82073863263836	0.992014946376623
4823.385923867536	7.410095148233031e-05	312807804055153.7	8.627207881839586e+28	80158.28809612888	11588.736751241222	25.818118238497142	0.992014946376623
4905.138227661901	7.792349558321468e-05	312744159931436.3	8.626104176284475e+28	80133.70717382555	11586.371332266584	25.81545356933767	0.992014946376623
4986.890531456265	8.187479447506901e-05	312679472221600.5	8.62498228758866e+28	80108.7257930851	11583.967128601127	25.812744651301916	0.992014946376623
5068.64283525063	8.59569399198075e-05	312613742212778.9	8.623842233883348e+28	80083.34457803602	11581.5241881602	25.809991510955083	0.992014946376623
5150.395139044995	9.017202102851483e-05	312546971212055.44	8.622684033583425e+28	80057.56416236934	11579.042559602083	25.80719417528406	0.992014946376623
5232.147442839359	9.452212422077725e-05	312479160546421.0	8.6215077053867e+28	80031.38518930657	11576.522292325848	25.804352671696897	0.992014946376623
5313.899746633724	9.900933318414604e-05	312410311562694.9	8.620313268273109e+28	80004.80831156045	11573.963436468828	25.80146702802178	0.992014946376623
5395.652050428089	0.00010363572883373576	312340425627478.0	8.619100741503922e+28	79977.83419130216	11571.366042904558	25.79853727250655	0.992014946376623
5477.404354222454	0.00010840338927195859	312269504127068.3	8.617870144620948e+28	79950.46350011868	11568.730163239818	25.79556343381729	0.992014946376623
5559.156658016818	0.00011331438974839745	312197548467415.1	8.61662149744571e+28	79922.6969189819	11566.055849812848	25.792545541038237	0.992014946376623
5640.908961811183	0.0001183708026198186	312124560074029.4	8.615354820078633e+28	79894.53513820173	11563.343155690034	25.789483623669962	0.992014946376623
5722.661265605548	0.0001235746973103269	312050540391926.9	8.614070132898187e+28	79865.97885739217	11560.592134663806	25.78637771162899	0.992014946376623
5804.413569399912	0.00012892814027166437	311975490885562.75	8.612767456560057e+28	79837.02878543324	11557.802841250186	25.78322783524702	0.992014946376623
