# r[m]	M[Msun]	rho[g/cm^3]	P[N/m^2]	n_e[pm^-3]	n_p[pm^-3]	muF_e[MeV]	B
3.29956603e-04	6.89468866e-01	4.58200521e+09	2.59550809e+22	1.34735417e+00	1.71442230e-01	3.35013399e-01	9.99419402e-01
3.35323377e-04	7.23661854e-01	4.58200521e+09	2.59550809e+22	1.34735417e+00	1.71442230e-01	3.35013399e-01	9.99419402e-01
3.40777441e-04	7.59550583e-01	4.58200521e+09	2.59550809e+22	1.34735417e+00	1.71442230e-01	3.35013399e-01	9.99419402e-01
3.46320217e-04	7.97219151e-01	4.58200521e+09	2.59550809e+22	1.34735417e+00	1.71442230e-01	3.35013399e-01	9.99419402e-01
3.51953146e-04	8.36755824e-01	4.58200521e+09	2.59550809e+22	1.34735417e+00	1.71442230e-01	3.35013399e-01	9.99419402e-01
3.57677696e-04	8.78253248e-01	4.58200521e+09	2.59550809e+22	1.34735417e+00	1.71442230e-01	3.35013399e-01	9.99419402e-01
3.63495355e-04	9.21808664e-01	4.58200521e+09	2.59550809e+22	1.34735417e+00	1.71442230e-01	3.35013399e-01	9.99419402e-01
3.69407640e-04	9.67524134e-01	4.58200521e+09	2.59550809e+22	1.34735417e+00	1.71442230e-01	3.35013399e-01	9.99419402e-01
3.75416088e-04	1.01550678e+00	4.58200521e+09	2.59550809e+22	1.34735417e+00	1.71442230e-01	3.35013399e-01	9.99419402e-01
3.81522264e-04	1.06586904e+00	4.58200521e+09	2.59550809e+22	1.34735417e+00	1.71442230e-01	3.35013399e-01	9.99419402e-01
3.87727758e-04	1.11872893e+00	4.58200521e+09	2.59550809e+22	1.34735417e+00	1.71442230e-01	3.35013399e-01	9.99419402e-01
3.94034185e-04	1.17421031e+00	4.58200521e+09	2.59550809e+22	1.34735417e+00	1.71442230e-01	3.35013399e-01	9.99419402e-01
4.00443186e-04	1.23244320e+00	4.58200521e+09	2.59550809e+22	1.34735417e+00	1.71442230e-01	3.35013399e-01	9.99419402e-01
4.06956430e-04	1.29356404e+00	4.58200521e+09	2.59550809e+22	1.34735417e+00	1.71442230e-01	3.35013399e-01	9.99419402e-01
4.13575613e-04	1.35771606e+00	4.58200521e+09	2.59550809e+22	1.34735417e+00	1.71442230e-01	3.35013399e-01	9.99419402e-01
4.20302457e-04	1.42504958e+00	4.58200521e+09	2.59550809e+22	1.34735417e+00	1.71442230e-01	3.35013399e-01	9.99419402e-01
4.27138714e-04	1.49572239e+00	4.58200521e+09	2.59550809e+22	1.34735417e+00	1.71442230e-01	3.35013399e-01	9.99419402e-01
4.34086164e-04	1.56990010e+00	4.58200521e+09	2.59550809e+22	1.34735417e+00	1.71442230e-01	3.35013399e-01	9.99419402e-01
4.41146614e-04	1.64775652e+00	4.58200521e+09	2.59550809e+22	1.34735417e+00	1.71442230e-01	3.35013399e-01	9.99419402e-01
4.48321903e-04	1.72947409e+00	4.58200521e+09	2.59550809e+22	1.34735417e+00	1.71442230e-01	3.35013399e-01	9.99419402e-01
4.55613899e-04	1.81524429e+00	4.58200521e+09	2.59550809e+22	1.34735417e+00	1.71442230e-01	3.35013399e-01	9.99419402e-01
4.63024500e-04	1.90526812e+00	4.58200521e+09	2.59550809e+22	1.34735417e+00	1.71442230e-01	3.35013399e-01	9.99419402e-01
4.70555634e-04	1.99975652e+00	4.58200521e+09	2.59550809e+22	1.34735417e+00	1.71442230e-01	3.35013399e-01	9.99419402e-01
4.78209264e-04	2.09893091e+00	4.58200521e+09	2.59550809e+22	1.34735417e+00	1.71442230e-01	3.35013399e-01	9.99419402e-01
4.85987380e-04	2.20302367e+00	4.58200521e+09	2.59550809e+22	1.34735417e+00	1.71442230e-01	3.35013399e-01	9.99419402e-01
4.93892008e-04	2.31227874e+00	4.58200521e+09	2.59550809e+22	1.34735417e+00	1.71442230e-01	3.35013399e-01	9.99419402e-01
5.01925206e-04	2.42695211e+00	4.58200521e+09	2.59550809e+22	1.34735417e+00	1.71442230e-01	3.35013399e-01	9.99419402e-01
5.10089064e-04	2.54731250e+00	4.58200521e+09	2.59550809e+22	1.34735417e+00	1.71442230e-01	3.35013399e-01	9.99419402e-01
5.18385709e-04	2.67364196e+00	4.58200521e+09	2.59550809e+22	1.34735417e+00	1.71442230e-01	3.35013399e-01	9.99419402e-01
5.26817299e-04	2.80623650e+00	4.58200521e+09	2.59550809e+22	1.34735417e+00	1.71442230e-01	3.35013399e-01	9.99419402e-01
5.35386029e-04	2.94540684e+00	4.58200521e+09	2.59550809e+22	1.34735417e+00	1.71442230e-01	3.35013399e-01	9.99419402e-01
5.44094131e-04	3.09147908e+00	4.58200521e+09	2.59550809e+22	1.34735417e+00	1.71442230e-01	3.35013399e-01	9.99419402e-01
5.52943870e-04	3.24479551e+00	4.58200521e+09	2.59550809e+22	1.34735417e+00	1.71442230e-01	3.35013399e-01	9.99419402e-01
5.61937552e-04	3.40571540e+00	4.58200521e+09	2.59550809e+22	1.34735417e+00	1.71442230e-01	3.35013399e-01	9.99419402e-01
5.71077516e-04	3.57461583e+00	4.58200521e+09	2.59550809e+22	1.34735417e+00	1.71442230e-01	3.35013399e-01	9.99419402e-01
5.80366143e-04	3.75189258e+00	4.58200521e+09	2.59550809e+22	1.34735417e+00	1.71442230e-01	3.35013399e-01	9.99419402e-01
5.89805850e-04	3.93796105e+00	4.58200521e+09	2.59550809e+22	1.34735417e+00	1.71442230e-01	3.35013399e-01	9.99419402e-01
5.99399095e-04	4.13325726e+00	4.58200521e+09	2.59550809e+22	1.34735417e+00	1.71442230e-01	3.35013399e-01	9.99419402e-01
6.09148375e-04	4.33823884e+00	4.58200521e+09	2.59550809e+22	1.34735417e+00	1.71442230e-01	3.35013399e-01	9.99419402e-01
6.19056228e-04	4.55338612e+00	4.58200521e+09	2.59550809e+22	1.34735417e+00	1.71442230e-01	3.35013399e-01	9.99419402e-01
6.29125233e-04	4.77920325e+00	4.58200521e+09	2.59550809e+22	1.34735417e+00	1.71442230e-01	3.35013399e-01	9.99419402e-01
6.39358011e-04	5.01621938e+00	4.58200521e+09	2.59550809e+22	1.34735417e+00	1.71442230e-01	3.35013399e-01	9.99419402e-01
6.49757226e-04	5.26498990e+00	4.58200521e+09	2.59550809e+22	1.34735417e+00	1.71442230e-01	3.35013399e-01	9.99419402e-01
6.60325586e-04	5.52609776e+00	4.58200521e+09	2.59550809e+22	1.34735417e+00	1.71442230e-01	3.35013399e-01	9.99419402e-01
6.71065840e-04	5.80015480e+00	4.58200521e+09	2.59550809e+22	1.34735417e+00	1.71442230e-01	3.35013399e-01	9.99419402e-01
