R	M	log_10_P0	g_surf_(m/s^2)
20780836.447876178	0.035872799532530336	18.0	5513.755681924713
20159316.44292374	0.04192936206076647	18.20408163265306	6848.169378189865
19521439.213263143	0.0489385009583827	18.408163265306122	8523.820423614652
18874534.98668049	0.05703837412523064	18.612244897959183	10627.258635711769
18221014.721281435	0.06634434788797572	18.816326530612244	13263.698808879071
17566691.958999958	0.0770207163846855	19.020408163265305	16566.564975041776
16913210.86120601	0.08920659709810692	19.224489795918366	20698.96310774695
16262266.274726652	0.103150198559185	19.428571428571427	25888.703759996562
15618205.598015388	0.11911745732103617	19.632653061224488	32412.59997335261
14984523.995793603	0.13730053592657948	19.836734693877553	40586.825545584004
14361730.57196996	0.15790606755475087	20.040816326530614	50813.799881445455
13750411.871973654	0.1812043713666862	20.244897959183675	63610.80039823638
13151193.683542073	0.20735689965482698	20.448979591836736	79575.32573800758
12562932.228904659	0.2365701756359711	20.653061224489797	99486.53602469561
11997328.044307984	0.26649785767287076	20.857142857142858	122887.20480043357
11407383.61104051	0.3025869082891171	21.06122448979592	154331.47955555038
10848500.910132209	0.34294730674828433	21.26530612244898	193400.6319351648
10311422.815376312	0.3869578242550672	21.46938775510204	241539.8568480798
9789287.674188891	0.4344324998099906	21.6734693877551	300866.40494738595
9280488.761010474	0.485123009956832	21.877551020408163	373812.3255872972
8783979.613762746	0.5387982706997616	22.081632653061224	463420.630326777
8300088.961850376	0.5949243267072274	22.285714285714285	573079.3716671823
7828324.356115481	0.652968296056077	22.48979591836735	707062.7476739734
7380074.147239457	0.7091368430102036	22.693877551020407	863964.3365572911
6924597.476042872	0.7669682806646698	22.89795918367347	1061345.3566390278
6488739.04742574	0.8257609016350272	23.10204081632653	1301310.4229260548
6069232.6421898855	0.8836812886884297	23.306122448979593	1591665.3465011187
5666885.766958326	0.93949765753532	23.510204081632654	1940906.1920611772
5280618.403427539	0.9925613709426508	23.714285714285715	2361332.2255638856
4910847.65112223	1.0424068655792658	23.918367346938776	2867229.373030605
4558268.60717636	1.0884718765678798	24.122448979591837	3474732.924977667
4226237.206161181	1.1280660087816254	24.3265306122449	4188848.984038049
3907601.7490634406	1.1632616331614405	24.53061224489796	5052254.619638939
3604165.05681585	1.1949703151841609	24.73469387755102	6100040.33969976
3318307.9888111316	1.222877754991969	24.93877551020408	7363547.807506218
3048505.423372314	1.247224079300669	25.142857142857142	8897251.01673774
2794766.669541469	1.268656444927968	25.346938775510203	10766651.42130867
2557184.0417972733	1.2874040593603686	25.551020408163264	13048333.010505484
2335505.7974295486	1.3037107999976516	25.755102040816325	15838466.043711072
2142931.9856419726	1.3070972988132972	25.95918367346939	18858988.532782592
1948984.0008178204	1.3134105916519085	26.163265306122447	22904933.469663113
1773135.2313303319	1.3165259458147622	26.367346938775512	27733366.45586937
1608416.5457353482	1.3187532605032846	26.57142857142857	33753888.2221692
1455544.2386884356	1.3208589258935146	26.775510204081634	41271506.21054866
1312106.7406569873	1.3248711582009887	26.979591836734695	50927041.33837905
1184460.3052921162	1.3279304501682483	27.183673469387756	62618703.2668242
1066641.9325793209	1.3306991088246223	27.387755102040817	77348081.24246405
959815.4484626699	1.333150003997418	27.591836734693878	95659565.60472673
863376.541870239	1.334033977144108	27.79591836734694	118246971.37872057
780649.2350976644	1.3307656649914024	28.0	144214073.4623803
