R	M	log_10_P0
11976674.505437898	0.4091409735321546	21.5
10532751.008362623	0.49711864416636786	21.854166666666668
9324687.652813254	0.5951545507654249	22.208333333333332
8294044.269355985	0.6893101735863526	22.5625
7317944.791012002	0.795073321661521	22.916666666666668
6461128.236978849	0.904074448529857	23.270833333333332
5691743.023127804	1.008268652620078	23.625
5013213.096747716	1.094691931324648	23.979166666666668
4371169.915075716	1.163389584054043	24.333333333333332
3779315.7839200157	1.2355171881940736	24.6875
3266602.50256787	1.2944962480436868	25.041666666666668
2826373.2221358386	1.3321404340886736	25.395833333333332
2430116.902860799	1.336153460132752	25.75
2044807.860268599	1.3574709603520705	26.104166666666668
1729395.7590510575	1.377114686309527	26.458333333333336
1453253.8151283034	1.3904764156952216	26.8125
1246189.9033817162	1.3746299527286499	27.166666666666668
1063669.5596019297	1.3200075222257914	27.520833333333336
881724.370946325	1.279168372203624	27.875
719350.2385461619	1.2583971108202723	28.229166666666668
582895.7744093346	1.2535120698298436	28.583333333333336
475062.63734909776	1.2527657743398255	28.9375
392526.3535428702	1.2441453205982096	29.291666666666668
380887.61828245164	1.137570371018518	29.645833333333336
362909.6758695038	0.9811471219394349	30.0
