# r[m]	m[Msun]	rho[g/cm^3]	P[Pa]	ne[pm^-3]	np[pm^-3]	muF_e[MeV]	B
1.472892745180658775e-04	4.508907569666945592e-32	6.700452569596348330e+06	4.561885544477043039e+22	1.972156241001846055e+00	2.506541907459854945e-01	4.094844629487179311e-01	9.999999998643358534e-01
1.496849477347316480e-04	4.732518862335183616e-32	6.700452569596348330e+06	4.561885544477043039e+22	1.972156241001846055e+00	2.506541907459854945e-01	4.094844629487179311e-01	9.999999998643358534e-01
1.521195867904227145e-04	4.967219761396123353e-32	6.700452569596348330e+06	4.561885544477043039e+22	1.972156241001846055e+00	2.506541907459854945e-01	4.094844629487179311e-01	9.999999998643358534e-01
1.545938254679944299e-04	5.213560236256431715e-32	6.700452569596348330e+06	4.561885544477043039e+22	1.972156241001846055e+00	2.506541907459854945e-01	4.094844629487179311e-01	9.999999998643358534e-01
1.571083078588362842e-04	5.472117531082292685e-32	6.700452569596348330e+06	4.561885544477043039e+22	1.972156241001846055e+00	2.506541907459854945e-01	4.094844629487179311e-01	9.999999998643358534e-01
1.596636885305424691e-04	5.743497517442982044e-32	6.700452569596348330e+06	4.561885544477043039e+22	1.972156241001846055e+00	2.506541907459854945e-01	4.094844629487179311e-01	9.999999998643358534e-01
1.622606326973070705e-04	6.028336114036144859e-32	6.700452569596348330e+06	4.561885544477043039e+22	1.972156241001846055e+00	2.506541907459854945e-01	4.094844629487179311e-01	9.999999998643358534e-01
1.648998163930925681e-04	6.327300776822017141e-32	6.700452569596348330e+06	4.561885544477043039e+22	1.972156241001846055e+00	2.506541907459854945e-01	4.094844629487179311e-01	9.999999998643358534e-01
1.675819266476147134e-04	6.641092063058212542e-32	6.700452569596348330e+06	4.561885544477043039e+22	1.972156241001846055e+00	2.506541907459854945e-01	4.094844629487179311e-01	9.999999998643358534e-01
1.703076616651883455e-04	6.970445272899858215e-32	6.700452569596348330e+06	4.561885544477043039e+22	1.972156241001846055e+00	2.506541907459854945e-01	4.094844629487179311e-01	9.999999998643358534e-01
1.730777310064846161e-04	7.316132172412297691e-32	6.700452569596348330e+06	4.561885544477043039e+22	1.972156241001846055e+00	2.506541907459854945e-01	4.094844629487179311e-01	9.999999998643358534e-01
1.758928557732418777e-04	7.678962802033217018e-32	6.700452569596348330e+06	4.561885544477043039e+22	1.972156241001846055e+00	2.506541907459854945e-01	4.094844629487179311e-01	9.999999998643358534e-01
1.787537687959826868e-04	8.059787374722489235e-32	6.700452569596348330e+06	4.561885544477043039e+22	1.972156241001846055e+00	2.506541907459854945e-01	4.094844629487179311e-01	9.999999998643358534e-01
1.816612148247841358e-04	8.459498268247402679e-32	6.700452569596348330e+06	4.561885544477043039e+22	1.972156241001846055e+00	2.506541907459854945e-01	4.094844629487179311e-01	9.999999998643358534e-01
1.846159507231491667e-04	8.879032116271506278e-32	6.700452569596348330e+06	4.561885544477043039e+22	1.972156241001846055e+00	2.506541907459854945e-01	4.094844629487179311e-01	9.999999998643358534e-01
1.876187456650339693e-04	9.319372003147674208e-32	6.700452569596348330e+06	4.561885544477043039e+22	1.972156241001846055e+00	2.506541907459854945e-01	4.094844629487179311e-01	9.999999998643358534e-01
1.906703813350773820e-04	9.781549767557680154e-32	6.700452569596348330e+06	4.561885544477043039e+22	1.972156241001846055e+00	2.506541907459854945e-01	4.094844629487179311e-01	9.999999998643358534e-01
1.937716521320886984e-04	1.026664842039692582e-31	6.700452569596348330e+06	4.561885544477043039e+22	1.972156241001846055e+00	2.506541907459854945e-01	4.094844629487179311e-01	9.999999998643358534e-01
1.969233653758454899e-04	1.077580468256994637e-31	6.700452569596348330e+06	4.561885544477043039e+22	1.972156241001846055e+00	2.506541907459854945e-01	4.094844629487179311e-01	9.999999998643358534e-01
2.001263415172530773e-04	1.131021164864307980e-31	6.700452569596348330e+06	4.561885544477043039e+22	1.972156241001846055e+00	2.506541907459854945e-01	4.094844629487179311e-01	9.999999998643358534e-01
2.033814143519240654e-04	1.187112158259656169e-31	6.700452569596348330e+06	4.561885544477043039e+22	1.972156241001846055e+00	2.506541907459854945e-01	4.094844629487179311e-01	9.999999998643358534e-01
2.066894312372319039e-04	1.245984885222703890e-31	6.700452569596348330e+06	4.561885544477043039e+22	1.972156241001846055e+00	2.506541907459854945e-01	4.094844629487179311e-01	9.999999998643358534e-01
2.100512533128926060e-04	1.307777300907617796e-31	6.700452569596348330e+06	4.561885544477043039e+22	1.972156241001846055e+00	2.506541907459854945e-01	4.094844629487179311e-01	9.999999998643358534e-01
2.134677557251374791e-04	1.372634202110347508e-31	6.700452569596348330e+06	4.561885544477043039e+22	1.972156241001846055e+00	2.506541907459854945e-01	4.094844629487179311e-01	9.999999998643358534e-01
2.169398278545289110e-04	1.440707566567716559e-31	6.700452569596348330e+06	4.561885544477043039e+22	1.972156241001846055e+00	2.506541907459854945e-01	4.094844629487179311e-01	9.999999998643358534e-01
2.204683735474835852e-04	1.512156909083489440e-31	6.700452569596348330e+06	4.561885544477043039e+22	1.972156241001846055e+00	2.506541907459854945e-01	4.094844629487179311e-01	9.999999998643358534e-01
2.240543113515616454e-04	1.587149655315885129e-31	6.700452569596348330e+06	4.561885544477043039e+22	1.972156241001846055e+00	2.506541907459854945e-01	4.094844629487179311e-01	9.999999998643358534e-01
2.276985747545805456e-04	1.665861534102374267e-31	6.700452569596348330e+06	4.561885544477043039e+22	1.972156241001846055e+00	2.506541907459854945e-01	4.094844629487179311e-01	9.999999998643358534e-01
2.314021124276214030e-04	1.748476989241198107e-31	6.700452569596348330e+06	4.561885544477043039e+22	1.972156241001846055e+00	2.506541907459854945e-01	4.094844629487179311e-01	9.999999998643358534e-01
2.351658884719845847e-04	1.835189611694394457e-31	6.700452569596348330e+06	4.561885544477043039e+22	1.972156241001846055e+00	2.506541907459854945e-01	4.094844629487179311e-01	9.999999998643358534e-01
2.389908826701642956e-04	1.926202593225214554e-31	6.700452569596348330e+06	4.561885544477043039e+22	1.972156241001846055e+00	2.506541907459854945e-01	4.094844629487179311e-01	9.999999998643358534e-01
2.428780907409053508e-04	2.021729202532890866e-31	6.700452569596348330e+06	4.561885544477043039e+22	1.972156241001846055e+00	2.506541907459854945e-01	4.094844629487179311e-01	9.999999998643358534e-01
2.468285245984059369e-04	2.121993285000402630e-31	6.700452569596348330e+06	4.561885544477043039e+22	1.972156241001846055e+00	2.506541907459854945e-01	4.094844629487179311e-01	9.999999998643358534e-01
2.508432126157401150e-04	2.227229787226440475e-31	6.700452569596348330e+06	4.561885544477043039e+22	1.972156241001846055e+00	2.506541907459854945e-01	4.094844629487179311e-01	9.999999998643358534e-01
2.549231998925612151e-04	2.337685307570516084e-31	6.700452569596348330e+06	4.561885544477043039e+22	1.972156241001846055e+00	2.506541907459854945e-01	4.094844629487179311e-01	9.999999998643358534e-01
2.590695485271618526e-04	2.453618674001437291e-31	6.700452569596348330e+06	4.561885544477043039e+22	1.972156241001846055e+00	2.506541907459854945e-01	4.094844629487179311e-01	9.999999998643358534e-01
2.632833378929590076e-04	2.575301550603165066e-31	6.700452569596348330e+06	4.561885544477043039e+22	1.972156241001846055e+00	2.506541907459854945e-01	4.094844629487179311e-01	9.999999998643358534e-01
2.675656649194739088e-04	2.703019074159184716e-31	6.700452569596348330e+06	4.561885544477043039e+22	1.972156241001846055e+00	2.506541907459854945e-01	4.094844629487179311e-01	9.999999998643358534e-01
2.719176443778853524e-04	2.837070522307251282e-31	6.700452569596348330e+06	4.561885544477043039e+22	1.972156241001846055e+00	2.506541907459854945e-01	4.094844629487179311e-01	9.999999998643358534e-01
2.763404091712243281e-04	2.977770014829989008e-31	6.700452569596348330e+06	4.561885544477043039e+22	1.972156241001846055e+00	2.506541907459854945e-01	4.094844629487179311e-01	9.999999998643358534e-01
2.808351106292908883e-04	3.125447249724824047e-31	6.700452569596348330e+06	4.561885544477043039e+22	1.972156241001846055e+00	2.506541907459854945e-01	4.094844629487179311e-01	9.999999998643358534e-01
2.854029188083679605e-04	3.280448275778007967e-31	6.700452569596348330e+06	4.561885544477043039e+22	1.972156241001846055e+00	2.506541907459854945e-01	4.094844629487179311e-01	9.999999998643358534e-01
2.900450227958075106e-04	3.443136303452999929e-31	6.700452569596348330e+06	4.561885544477043039e+22	1.972156241001846055e+00	2.506541907459854945e-01	4.094844629487179311e-01	9.999999998643358534e-01
2.947626310195746542e-04	3.613892555993552163e-31	6.700452569596348330e+06	4.561885544477043039e+22	1.972156241001846055e+00	2.506541907459854945e-01	4.094844629487179311e-01	9.999999998643358534e-01
2.995569715628225199e-04	3.793117162735608200e-31	6.700452569596348330e+06	4.561885544477043039e+22	1.972156241001846055e+00	2.506541907459854945e-01	4.094844629487179311e-01	9.999999998643358534e-01
3.044292924835864450e-04	3.981230096721518310e-31	6.700452569596348330e+06	4.561885544477043039e+22	1.972156241001846055e+00	2.506541907459854945e-01	4.094844629487179311e-01	9.999999998643358534e-01
3.093808621396782203e-04	4.178672158813586542e-31	6.700452569596348330e+06	4.561885544477043039e+22	1.972156241001846055e+00	2.506541907459854945e-01	4.094844629487179311e-01	9.999999998643358534e-01
3.144129695188617023e-04	4.385906010612867444e-31	6.700452569596348330e+06	4.561885544477043039e+22	1.972156241001846055e+00	2.506541907459854945e-01	4.094844629487179311e-01	9.999999998643358534e-01
3.195269245744030307e-04	4.603417258603911338e-31	6.700452569596348330e+06	4.561885544477043039e+22	1.972156241001846055e+00	2.506541907459854945e-01	4.094844629487179311e-01	9.999999998643358534e-01
3.247240585660745465e-04	4.831715592065585302e-31	6.700452569596348330e+06	4.561885544477043039e+22	1.972156241001846055e+00	2.506541907459854945e-01	4.094844629487179311e-01	9.999999998643358534e-01
