R	M	log_10_P0
881991147.0302676	6.258263342846149	20.0
921039570.050029	6.398847230592412	20.416666666666668
869282404.9656609	4.223303063120857	20.833333333333332
156582809.0227733	0.42585881372652884	21.25
34721646.52181739	0.4721547966337234	21.666666666666668
19043325.330042712	0.5671341280568705	22.083333333333332
13138495.215269068	0.675761711934457	22.5
9953445.48771835	0.7912399163596575	22.916666666666668
7898900.248657698	0.9064357736497989	23.333333333333332
6413261.592897494	1.009778690493664	23.75
5264225.31532211	1.1018235564743684	24.166666666666668
4340009.480007399	1.1797852296298588	24.583333333333336
3584679.6714275163	1.2398965685401666	25.0
2952975.0305211763	1.2748478613163388	25.416666666666668
2415367.218704513	1.3022215555598151	25.833333333333336
1969647.252804476	1.3267290475831586	26.25
1607998.893717048	1.3394764487609578	26.666666666666668
1306197.521465131	1.319228175428617	27.083333333333336
1045347.4506727203	1.3045030200702257	27.5
836372.0962497719	1.3109000195930336	27.916666666666668
667005.2191565295	1.3128764688682375	28.333333333333336
530654.2039292732	1.3119691238687996	28.75
443501.9981820152	1.2390730974987758	29.166666666666668
359058.557135526	1.1295235409774367	29.583333333333336
280113.5448742533	1.0547523104089882	30.0
