# r[m]	m[Msun]	rho[g/cm^3]	P[Pa]	ne[pm^-3]	np[pm^-3]	muF_e[MeV]	B
5.787619883491208989e-05	1.583459621857427855e-32	3.878405081664928794e+07	5.623413251903490674e+23	1.140992049166830924e+01	1.449871141007989417e+00	9.552874923910965599e-01	9.999999998787423294e-01
5.881756038268869412e-05	1.661988499963848590e-32	3.878405081664928794e+07	5.623413251903490674e+23	1.140992049166830924e+01	1.449871141007989417e+00	9.552874923910965599e-01	9.999999998787423294e-01
5.977423326019102304e-05	1.744411878827680997e-32	3.878405081664928794e+07	5.623413251903490674e+23	1.140992049166830924e+01	1.449871141007989417e+00	9.552874923910965599e-01	9.999999998787423294e-01
6.074646650756564771e-05	1.830922899322883666e-32	3.878405081664928794e+07	5.623413251903490674e+23	1.140992049166830924e+01	1.449871141007989417e+00	9.552874923910965599e-01	9.999999998787423294e-01
6.173451321561979782e-05	1.921724280803344613e-32	3.878405081664928794e+07	5.623413251903490674e+23	1.140992049166830924e+01	1.449871141007989417e+00	9.552874923910965599e-01	9.999999998787423294e-01
6.273863059170489221e-05	2.017028796130570797e-32	3.878405081664928794e+07	5.623413251903490674e+23	1.140992049166830924e+01	1.449871141007989417e+00	9.552874923910965599e-01	9.999999998787423294e-01
6.375908002667307031e-05	2.117059770259660642e-32	3.878405081664928794e+07	5.623413251903490674e+23	1.140992049166830924e+01	1.449871141007989417e+00	9.552874923910965599e-01	9.999999998787423294e-01
6.479612716292204577e-05	2.222051603551699231e-32	3.878405081664928794e+07	5.623413251903490674e+23	1.140992049166830924e+01	1.449871141007989417e+00	9.552874923910965599e-01	9.999999998787423294e-01
6.585004196354672038e-05	2.332250321038906071e-32	3.878405081664928794e+07	5.623413251903490674e+23	1.140992049166830924e+01	1.449871141007989417e+00	9.552874923910965599e-01	9.999999998787423294e-01
6.692109878261630156e-05	2.447914148929692964e-32	3.878405081664928794e+07	5.623413251903490674e+23	1.140992049166830924e+01	1.449871141007989417e+00	9.552874923910965599e-01	9.999999998787423294e-01
6.800957643659301692e-05	2.569314119704313448e-32	3.878405081664928794e+07	5.623413251903490674e+23	1.140992049166830924e+01	1.449871141007989417e+00	9.552874923910965599e-01	9.999999998787423294e-01
6.911575827691393385e-05	2.696734707219321312e-32	3.878405081664928794e+07	5.623413251903490674e+23	1.140992049166830924e+01	1.449871141007989417e+00	9.552874923910965599e-01	9.999999998787423294e-01
7.023993226375259435e-05	2.830474493308827221e-32	3.878405081664928794e+07	5.623413251903490674e+23	1.140992049166830924e+01	1.449871141007989417e+00	9.552874923910965599e-01	9.999999998787423294e-01
7.138239104098030596e-05	2.970846867444658840e-32	3.878405081664928794e+07	5.623413251903490674e+23	1.140992049166830924e+01	1.449871141007989417e+00	9.552874923910965599e-01	9.999999998787423294e-01
7.254343201234759390e-05	3.118180761095033715e-32	3.878405081664928794e+07	5.623413251903490674e+23	1.140992049166830924e+01	1.449871141007989417e+00	9.552874923910965599e-01	9.999999998787423294e-01
7.372335741890309374e-05	3.272821418502253133e-32	3.878405081664928794e+07	5.623413251903490674e+23	1.140992049166830924e+01	1.449871141007989417e+00	9.552874923910965599e-01	9.999999998787423294e-01
7.492247441767328992e-05	3.435131205685944955e-32	3.878405081664928794e+07	5.623413251903490674e+23	1.140992049166830924e+01	1.449871141007989417e+00	9.552874923910965599e-01	9.999999998787423294e-01
7.614109516162113846e-05	3.605490459567293858e-32	3.878405081664928794e+07	5.623413251903490674e+23	1.140992049166830924e+01	1.449871141007989417e+00	9.552874923910965599e-01	9.999999998787423294e-01
7.737953688090529864e-05	3.784298379204085300e-32	3.878405081664928794e+07	5.623413251903490674e+23	1.140992049166830924e+01	1.449871141007989417e+00	9.552874923910965599e-01	9.999999998787423294e-01
7.863812196546179315e-05	3.971973961225085255e-32	3.878405081664928794e+07	5.623413251903490674e+23	1.140992049166830924e+01	1.449871141007989417e+00	9.552874923910965599e-01	9.999999998787423294e-01
7.991717804892728709e-05	4.168956981655401847e-32	3.878405081664928794e+07	5.623413251903490674e+23	1.140992049166830924e+01	1.449871141007989417e+00	9.552874923910965599e-01	9.999999998787423294e-01
8.121703809392900387e-05	4.375709026433976080e-32	3.878405081664928794e+07	5.623413251903490674e+23	1.140992049166830924e+01	1.449871141007989417e+00	9.552874923910965599e-01	9.999999998787423294e-01
8.253804047876105100e-05	4.592714573037638373e-32	3.878405081664928794e+07	5.623413251903490674e+23	1.140992049166830924e+01	1.449871141007989417e+00	9.552874923910965599e-01	9.999999998787423294e-01
8.388052908547058829e-05	4.820482125746402293e-32	3.878405081664928794e+07	5.623413251903490674e+23	1.140992049166830924e+01	1.449871141007989417e+00	9.552874923910965599e-01	9.999999998787423294e-01
8.524485338937750093e-05	5.059545407210363911e-32	3.878405081664928794e+07	5.623413251903490674e+23	1.140992049166830924e+01	1.449871141007989417e+00	9.552874923910965599e-01	9.999999998787423294e-01
8.663136855004848922e-05	5.310464609109973760e-32	3.878405081664928794e+07	5.623413251903490674e+23	1.140992049166830924e+01	1.449871141007989417e+00	9.552874923910965599e-01	9.999999998787423294e-01
8.804043550375254435e-05	5.573827704840879728e-32	3.878405081664928794e+07	5.623413251903490674e+23	1.140992049166830924e+01	1.449871141007989417e+00	9.552874923910965599e-01	9.999999998787423294e-01
8.947242105741930456e-05	5.850251827298897099e-32	3.878405081664928794e+07	5.623413251903490674e+23	1.140992049166830924e+01	1.449871141007989417e+00	9.552874923910965599e-01	9.999999998787423294e-01
9.092769798412574339e-05	6.140384714993790992e-32	3.878405081664928794e+07	5.623413251903490674e+23	1.140992049166830924e+01	1.449871141007989417e+00	9.552874923910965599e-01	9.999999998787423294e-01
9.240664512013681774e-05	6.444906229880702981e-32	3.878405081664928794e+07	5.623413251903490674e+23	1.140992049166830924e+01	1.449871141007989417e+00	9.552874923910965599e-01	9.999999998787423294e-01
9.390964746352262725e-05	6.764529950465340806e-32	3.878405081664928794e+07	5.623413251903490674e+23	1.140992049166830924e+01	1.449871141007989417e+00	9.552874923910965599e-01	9.999999998787423294e-01
9.543709627438149389e-05	7.100004843916813538e-32	3.878405081664928794e+07	5.623413251903490674e+23	1.140992049166830924e+01	1.449871141007989417e+00	9.552874923910965599e-01	9.999999998787423294e-01
9.698938917669219090e-05	7.452117021105720137e-32	3.878405081664928794e+07	5.623413251903490674e+23	1.140992049166830924e+01	1.449871141007989417e+00	9.552874923910965599e-01	9.999999998787423294e-01
9.856693026182309009e-05	7.821691578680317709e-32	3.878405081664928794e+07	5.623413251903490674e+23	1.140992049166830924e+01	1.449871141007989417e+00	9.552874923910965599e-01	9.999999998787423294e-01
1.001701301937246686e-04	8.209594532497143150e-32	3.878405081664928794e+07	5.623413251903490674e+23	1.140992049166830924e+01	1.449871141007989417e+00	9.552874923910965599e-01	9.999999998787423294e-01
1.017994063158334558e-04	8.616734846936820019e-32	3.878405081664928794e+07	5.623413251903490674e+23	1.140992049166830924e+01	1.449871141007989417e+00	9.552874923910965599e-01	9.999999998787423294e-01
1.034551827597143358e-04	9.044066564860084369e-32	3.878405081664928794e+07	5.623413251903490674e+23	1.140992049166830924e+01	1.449871141007989417e+00	9.552874923910965599e-01	9.999999998787423294e-01
1.051378905554696254e-04	9.492591043195126248e-32	3.878405081664928794e+07	5.623413251903490674e+23	1.140992049166830924e+01	1.449871141007989417e+00	9.552874923910965599e-01	9.999999998787423294e-01
1.068479677439452841e-04	9.963359299395279249e-32	3.878405081664928794e+07	5.623413251903490674e+23	1.140992049166830924e+01	1.449871141007989417e+00	9.552874923910965599e-01	9.999999998787423294e-01
1.085858594907604282e-04	1.045747447426466398e-31	3.878405081664928794e+07	5.623413251903490674e+23	1.140992049166830924e+01	1.449871141007989417e+00	9.552874923910965599e-01	9.999999998787423294e-01
1.103520182021927403e-04	1.097609441692362766e-31	3.878405081664928794e+07	5.623413251903490674e+23	1.140992049166830924e+01	1.449871141007989417e+00	9.552874923910965599e-01	9.999999998787423294e-01
1.121469036429488460e-04	1.152043439797101140e-31	3.878405081664928794e+07	5.623413251903490674e+23	1.140992049166830924e+01	1.449871141007989417e+00	9.552874923910965599e-01	9.999999998787423294e-01
1.139709830558489044e-04	1.209176995720049736e-31	3.878405081664928794e+07	5.623413251903490674e+23	1.140992049166830924e+01	1.449871141007989417e+00	9.552874923910965599e-01	9.999999998787423294e-01
1.158247312834598339e-04	1.269143989254500979e-31	3.878405081664928794e+07	5.623413251903490674e+23	1.140992049166830924e+01	1.449871141007989417e+00	9.552874923910965599e-01	9.999999998787423294e-01
1.177086308917049451e-04	1.332084939725189296e-31	3.878405081664928794e+07	5.623413251903490674e+23	1.140992049166830924e+01	1.449871141007989417e+00	9.552874923910965599e-01	9.999999998787423294e-01
1.196231722954854855e-04	1.398147335264120766e-31	3.878405081664928794e+07	5.623413251903490674e+23	1.140992049166830924e+01	1.449871141007989417e+00	9.552874923910965599e-01	9.999999998787423294e-01
1.215688538863452292e-04	1.467485978416247869e-31	3.878405081664928794e+07	5.623413251903490674e+23	1.140992049166830924e+01	1.449871141007989417e+00	9.552874923910965599e-01	9.999999998787423294e-01
1.235461821622105944e-04	1.540263348884812425e-31	3.878405081664928794e+07	5.623413251903490674e+23	1.140992049166830924e+01	1.449871141007989417e+00	9.552874923910965599e-01	9.999999998787423294e-01
1.255556718592420822e-04	1.616649984266441080e-31	3.878405081664928794e+07	5.623413251903490674e+23	1.140992049166830924e+01	1.449871141007989417e+00	9.552874923910965599e-01	9.999999998787423294e-01
1.275978460858302407e-04	1.696824879668124310e-31	3.878405081664928794e+07	5.623413251903490674e+23	1.140992049166830924e+01	1.449871141007989417e+00	9.552874923910965599e-01	9.999999998787423294e-01
1.296732364587697636e-04	1.780975907142438401e-31	3.878405081664928794e+07	5.623413251903490674e+23	1.140992049166830924e+01	1.449871141007989417e+00	9.552874923910965599e-01	9.999999998787423294e-01
1.317823832416506740e-04	1.869300255924004641e-31	3.878405081664928794e+07	5.623413251903490674e+23	1.140992049166830924e+01	1.449871141007989417e+00	9.552874923910965599e-01	9.999999998787423294e-01
1.339258354854980758e-04	1.962004894498600069e-31	3.878405081664928794e+07	5.623413251903490674e+23	1.140992049166830924e+01	1.449871141007989417e+00	9.552874923910965599e-01	9.999999998787423294e-01
1.361041511717011167e-04	2.059307055587835353e-31	3.878405081664928794e+07	5.623413251903490674e+23	1.140992049166830924e+01	1.449871141007989417e+00	9.552874923910965599e-01	9.999999998787423294e-01
1.383178973572665618e-04	2.161434745185790014e-31	3.878405081664928794e+07	5.623413251903490674e+23	1.140992049166830924e+01	1.449871141007989417e+00	9.552874923910965599e-01	9.999999998787423294e-01
1.405676503224334887e-04	2.268627276840348208e-31	3.878405081664928794e+07	5.623413251903490674e+23	1.140992049166830924e+01	1.449871141007989417e+00	9.552874923910965599e-01	9.999999998787423294e-01
1.428539957206911707e-04	2.381135832431378881e-31	3.878405081664928794e+07	5.623413251903490674e+23	1.140992049166830924e+01	1.449871141007989417e+00	9.552874923910965599e-01	9.999999998787423294e-01
1.451775287312347617e-04	2.499224050759608330e-31	3.878405081664928794e+07	5.623413251903490674e+23	1.140992049166830924e+01	1.449871141007989417e+00	9.552874923910965599e-01	9.999999998787423294e-01
1.475388542139022860e-04	2.623168645325592283e-31	3.878405081664928794e+07	5.623413251903490674e+23	1.140992049166830924e+01	1.449871141007989417e+00	9.552874923910965599e-01	9.999999998787423294e-01
1.499385868666314767e-04	2.753260052746339971e-31	3.878405081664928794e+07	5.623413251903490674e+23	1.140992049166830924e+01	1.449871141007989417e+00	9.552874923910965599e-01	9.999999998787423294e-01
1.523773513854764696e-04	2.889803113328942372e-31	3.878405081664928794e+07	5.623413251903490674e+23	1.140992049166830924e+01	1.449871141007989417e+00	9.552874923910965599e-01	9.999999998787423294e-01
1.548557826272290762e-04	3.033117785396151146e-31	3.878405081664928794e+07	5.623413251903490674e+23	1.140992049166830924e+01	1.449871141007989417e+00	9.552874923910965599e-01	9.999999998787423294e-01
1.573745257746831782e-04	3.183539895037565722e-31	3.878405081664928794e+07	5.623413251903490674e+23	1.140992049166830924e+01	1.449871141007989417e+00	9.552874923910965599e-01	9.999999998787423294e-01
1.599342365045884596e-04	3.341421923043472893e-31	3.878405081664928794e+07	5.623413251903490674e+23	1.140992049166830924e+01	1.449871141007989417e+00	9.552874923910965599e-01	9.999999998787423294e-01
