R	M	xws0
284900.0	1.1522936674776825	1.0
331529.7898372409	1.1852119878316805	1.0689655172413792
383062.4051988385	1.2178686593414447	1.1379310344827587
435063.7026346993	1.2358372209135102	1.206896551724138
527889.4270993574	1.2566251411672147	1.2758620689655173
606424.6795794591	1.2982762850151632	1.3448275862068966
687947.1618637439	1.3399396171594906	1.4137931034482758
765680.7397163656	1.3533344324953092	1.4827586206896552
889584.5182744387	1.3625743670438284	1.5517241379310345
1021179.8602810988	1.3611749356542209	1.6206896551724137
1179011.544679974	1.3579537854272887	1.6896551724137931
1358479.2065267453	1.3542311094304202	1.7586206896551724
1561418.6589643764	1.3503963411929547	1.8275862068965516
1788941.0401619333	1.347411645151969	1.896551724137931
2039136.736441724	1.344747183364739	1.9655172413793103
2308116.3081308133	1.339540998923814	2.0344827586206895
2597636.4298488162	1.3209438064776897	2.103448275862069
2938646.454247731	1.2945774816028743	2.1724137931034484
3312429.9903310686	1.2615470427762867	2.2413793103448274
3727910.9522144613	1.2229795375376595	2.310344827586207
4172515.6871515196	1.176348019283216	2.3793103448275863
4673934.215660176	1.1206435516658284	2.4482758620689653
5210314.777252981	1.0563028498987275	2.5172413793103448
5807227.429653993	0.9825936807486755	2.586206896551724
6471414.3177164905	0.9010298897081395	2.655172413793103
7211443.284334473	0.8152088662018324	2.7241379310344827
8044284.5102553135	0.7268766223110572	2.793103448275862
8997770.167874714	0.6423412625074032	2.862068965517241
10055736.578360382	0.5594034942021299	2.9310344827586206
11339910.792057898	0.4796553399829542	3.0
