R	M	xws0
272200.0	1.0891614887105576	1.0
318770.1827963909	1.132813373073913	1.0689655172413792
369874.217527746	1.1846015701764159	1.1379310344827587
422819.6339157034	1.2444271701771983	1.206896551724138
473138.8320535532	1.3028577697028487	1.2758620689655173
522046.94933526457	1.324056586276854	1.3448275862068966
602219.4516829887	1.3272369769141679	1.4137931034482758
700802.4480304742	1.328739756046493	1.4827586206896552
814148.7797939266	1.3305519840663012	1.5517241379310345
944332.068394746	1.3333176004982779	1.6206896551724137
1091888.63308717	1.3377439944467562	1.6896551724137931
1257798.2995555275	1.3443454417159524	1.7586206896551724
1440006.3581769415	1.3525497576569276	1.8275862068965516
1632270.6635736772	1.3568140725004283	1.896551724137931
1852000.770122705	1.3468287424520953	1.9655172413793103
2111041.254325123	1.331703327970596	2.0344827586206895
2395557.216777146	1.312407011630602	2.103448275862069
2721417.990206709	1.2866310083467882	2.1724137931034484
3079042.8747566454	1.259585863712256	2.2413793103448274
3474860.4301260696	1.2293844426565572	2.310344827586207
3875343.2840382466	1.1940420759016999	2.3793103448275863
4340398.720207249	1.1414085493954318	2.4482758620689653
4855639.173368117	1.0804650131706872	2.5172413793103448
5423359.853795515	1.012204245771759	2.586206896551724
6060983.934372222	0.9375329652523604	2.655172413793103
6732917.847962277	0.8636124932240775	2.7241379310344827
7481005.9649775205	0.7799319426871428	2.793103448275862
8327096.36878433	0.6936987941011087	2.862068965517241
9273351.571618767	0.6092423472012772	2.9310344827586206
10330333.828460393	0.5254459688705142	3.0
