xWS	rho[g/cm^3]	n_e[pm^-3]	P[N/m^2]	mu_F_e[MeV]
3.84132e+00	3.10740e+13	8.82999e+06	4.46256e+31	1.25677e+02
3.93091e+00	2.89655e+13	8.23905e+06	4.06886e+31	1.22797e+02
4.02259e+00	2.70008e+13	7.68868e+06	3.71055e+31	1.19988e+02
4.11641e+00	2.51697e+13	7.17359e+06	3.38286e+31	1.17234e+02
4.21241e+00	2.34634e+13	6.69375e+06	3.08457e+31	1.14548e+02
4.31065e+00	2.18733e+13	6.24586e+06	2.81249e+31	1.11923e+02
4.41119e+00	2.03913e+13	5.82751e+06	2.56416e+31	1.09354e+02
4.51407e+00	1.90101e+13	5.43704e+06	2.33767e+31	1.06843e+02
4.61935e+00	1.77230e+13	5.07386e+06	2.13182e+31	1.04398e+02
4.72708e+00	1.65232e+13	4.73367e+06	1.94341e+31	1.01999e+02
4.83733e+00	1.54052e+13	4.41771e+06	1.77240e+31	9.96654e+01
4.95015e+00	1.43628e+13	4.12155e+06	1.61577e+31	9.73750e+01
5.06560e+00	1.33915e+13	3.84627e+06	1.47351e+31	9.51453e+01
5.18374e+00	1.24859e+13	3.58865e+06	1.34340e+31	9.29602e+01
5.30464e+00	1.16419e+13	3.34888e+06	1.22507e+31	9.08303e+01
5.42836e+00	1.08551e+13	3.12479e+06	1.11701e+31	8.87458e+01
5.55496e+00	1.01216e+13	2.91569e+06	1.01848e+31	8.67088e+01
5.68451e+00	9.43788e+12	2.72036e+06	9.28531e+30	8.47160e+01
5.81709e+00	8.80056e+12	2.53882e+06	8.46845e+30	8.27765e+01
5.95276e+00	8.20631e+12	2.36871e+06	7.72047e+30	8.08732e+01
6.09159e+00	7.65237e+12	2.21035e+06	7.04004e+30	7.90177e+01
6.23366e+00	7.13584e+12	2.06191e+06	6.41680e+30	7.71960e+01
6.37905e+00	6.65443e+12	1.92456e+06	5.85328e+30	7.54308e+01
6.52782e+00	6.20551e+12	1.79574e+06	5.33679e+30	7.36972e+01
6.68007e+00	5.78693e+12	1.67524e+06	4.86472e+30	7.19988e+01
6.83587e+00	5.39677e+12	1.56375e+06	4.43789e+30	7.03533e+01
6.99529e+00	5.03293e+12	1.45916e+06	4.04660e+30	6.87369e+01
7.15844e+00	4.69368e+12	1.36153e+06	3.68968e+30	6.71568e+01
7.32539e+00	4.37734e+12	1.27033e+06	3.36389e+30	6.56110e+01
7.49624e+00	4.08243e+12	1.18567e+06	3.06832e+30	6.41082e+01
7.67107e+00	3.80743e+12	1.10656e+06	2.79845e+30	6.26381e+01
7.84998e+00	3.55093e+12	1.03209e+06	2.55017e+30	6.11884e+01
8.03306e+00	3.31183e+12	9.63405e+05	2.32644e+30	5.97883e+01
8.22041e+00	3.08883e+12	8.98942e+05	2.12122e+30	5.84124e+01
