r[m]	m[Msun]	rho[kg/m^3]	P[Pa]	ne[pm^-3]	np[pm^-3]	muF_e[MeV]	B
417.670049081719	1.0218736466274431e-10	665952683047.2019	2.4879023672388295e+25	182.89622920485579	198.78646083727173	2.9916726402953357	0.9986656846067902
835.340098163438	8.174980789377216e-10	665951270083.0233	2.4878991174131398e+25	182.89625651511747	198.78603890946331	2.9916728109202224	0.9986656846067902
1253.010147245157	2.7590502311850304e-09	665948915155.7415	2.487893701061077e+25	182.89630203210652	198.78533570033696	2.991673095294266	0.9986656846067902
1670.680196326876	6.539951531753332e-09	665945618285.2616	2.4878861182195435e+25	182.89636575564504	198.78435121583763	2.9916734934162696	0.9986656846067902
2088.350245408595	1.277329408097487e-08	665941379499.3394	2.4878763689400145e+25	182.89644768548573	198.78308546425555	2.9916740052845707	0.9986656846067902
2506.020294490314	2.2072149166317012e-08	665936198833.6364	2.487864453288643e+25	182.89654782131174	198.7815384562407	2.9916746308970352	0.9986656846067902
2923.690343572033	3.504956205998249e-08	665930076331.7643	2.487850371346271e+25	182.89666616273462	198.77971020481976	2.9916753702510506	0.9986656846067902
3341.3603926537517	5.231854681706444e-08	665923012045.234	2.4878341232084336e+25	182.8968027092963	198.77760072537546	2.991676223343535	0.9986656846067902
3759.0304417354705	7.449208107435506e-08	665915006033.4865	2.487815708985357e+25	182.89695746046797	198.77521003566318	2.991677190170927	0.9986656846067902
4176.700490817189	1.0218310084991962e-07	665906058363.8927	2.4877951288019585e+25	182.89713041565017	198.7725381558034	2.9916782707291953	0.9986656846067902
4594.370539898909	1.3600449534354711e-07	665896169111.7467	2.487772382797843e+25	182.89732157417282	198.76958510828302	2.9916794650138305	0.9986656846067902
5012.040588980628	1.7656910173818457e-07	665885338360.2347	2.487747471127301e+25	182.89753093529595	198.7663509179501	2.991680773019852	0.9986656846067902
5429.710638062347	2.2448970000246557e-07	665873566200.4941	2.4877203939593075e+25	182.89775849820865	198.76283561202163	2.9916821947418026	0.9986656846067902
5847.3806871440665	2.8037900769444274e-07	665860852731.5494	2.4876911514775167e+25	182.89800426202956	198.75903922007487	2.991683730173754	0.9986656846067902
6265.050736225786	3.4484967476663264e-07	665847198060.3624	2.4876597438802596e+25	182.8982682258071	198.75496177405446	2.9916853793093003	0.9986656846067902
6682.720785307505	4.18514278372481e-07	665832602301.7817	2.4876261713805416e+25	182.8985503885193	198.75060330826355	2.9916871421415654	0.9986656846067902
7100.390834389224	5.019853176743611e-07	665817065578.5961	2.487590434206037e+25	182.89885074907326	198.74596385937423	2.9916890186631946	0.9986656846067902
7518.060883470944	5.958752086532093e-07	665800588021.472	2.487552532599086e+25	182.8991693063061	198.74104346641317	2.9916910088663635	0.9986656846067902
7935.730932552663	7.007962789199113e-07	665783169768.9905	2.4875124668166906e+25	182.89950605898449	198.7358421707698	2.991693112742772	0.9986656846067902
8353.400981634382	8.173607625285433e-07	665764810967.6315	2.4874702371305085e+25	182.89986100580492	198.73036001619323	2.991695330283649	0.9986656846067902
8771.0710307161	9.461807947915836e-07	665745511771.7798	2.48742584382685e+25	182.90023414539303	198.72459704879273	2.991697661479746	0.9986656846067902
9188.74107979782	1.087868407097197e-06	665725272343.6985	2.487379287206672e+25	182.90062547630447	198.71855331703182	2.9917001063213444	0.9986656846067902
9606.411128879538	1.243035521728703e-06	665704092853.5673	2.487330567585574e+25	182.9010349970244	198.7122288717375	2.9917026647982503	0.9986656846067902
10024.081177961256	1.4122939466863384e-06	665681973479.4316	2.4872796852937895e+25	182.90146270596782	198.70562376608632	2.991705336899798	0.9986656846067902
10441.751227042974	1.5962553705114156e-06	665658914407.2324	2.4872266406761826e+25	182.90190860147936	198.69873805561372	2.991708122614848	0.9986656846067902
10859.421276124693	1.7955313571129965e-06	665634915830.771	2.487171434092242e+25	182.90237268183338	198.69157179820073	2.991711021931791	0.9986656846067902
11277.091325206411	2.0107333405971852e-06	665609977951.755	2.4871140659160725e+25	182.90285494523405	198.68412505409268	2.99171403483854	0.9986656846067902
11694.76137428813	2.242472620099134e-06	665584100979.758	2.4870545365363917e+25	182.903355389815	198.6763978858812	2.991717161322538	0.9986656846067902
12112.431423369848	2.4913603546179016e-06	665557285132.189	2.4869928463565194e+25	182.90387401364032	198.66839035850018	2.9917204013707583	0.9986656846067902
12530.101472451566	2.75800755785424e-06	665529530634.3651	2.4869289957943717e+25	182.90441081470328	198.66010253924378	2.991723754969698	0.9986656846067902
12947.771521533285	3.043025093051437e-06	665500837719.4282	2.4868629852824554e+25	182.90496579092743	198.65153449774564	2.9917272221053843	0.9986656846067902
13365.441570615003	3.347023667839314e-06	665471206628.3971	2.486794815267859e+25	182.90553894016594	198.64268630598932	2.9917308027633718	0.9986656846067902
13783.111619696721	3.670613829081489e-06	665440637610.1216	2.4867244862122435e+25	182.90613026020182	198.63355803829867	2.991734496928745	0.9986656846067902
14200.78166877844	4.0144059577260135e-06	665409130921.3115	2.4866519985918356e+25	182.90673974874844	198.6241497713453	2.991738304586115	0.9986656846067902
14618.451717860158	4.379010263659498e-06	665376686826.4949	2.486577352897419e+25	182.90736740344866	198.61446158413472	2.9917422257196233	0.9986656846067902
15036.121766941877	4.7650367805648025e-06	665343305598.0657	2.4865005496343263e+25	182.90801322187548	198.6044935580228	2.9917462603129388	0.9986656846067902
15453.791816023595	5.1730953607824464e-06	665308987516.2046	2.4864215893224293e+25	182.90867720153213	198.5942457766902	2.9917504083492625	0.9986656846067902
15871.461865105313	5.603795670175802e-06	665273732868.9395	2.486340472496128e+25	182.90935933985182	198.58371832616243	2.991754669811322	0.9986656846067902
16289.131914187032	6.057747183000219e-06	665237541952.1066	2.4862571997043453e+25	182.91005963419752	198.57291129479512	2.991759044681377	0.9986656846067902
16706.80196326875	6.5355591767761285e-06	665200415069.3704	2.486171771510515e+25	182.91077808186247	198.56182477328497	2.9917635329412127	0.9986656846067902
17124.47201235047	7.0378407271663046e-06	665162352532.1573	2.4860841884925695e+25	182.91151468007058	198.5504588546447	2.9917681345721507	0.9986656846067902
17542.14206143219	7.5652007028573306e-06	665123354659.7383	2.4859944512429334e+25	182.912269425975	198.53881363422894	2.9917728495550384	0.9986656846067902
17959.81211051391	8.118247760445412e-06	665083421779.1338	2.4859025603685114e+25	182.91304231665998	198.52688920970974	2.9917776778702567	0.9986656846067902
18377.48215959563	8.697590339326622e-06	665042554225.1758	2.485808516490676e+25	182.91383334913954	198.51468568109092	2.9917826194977146	0.9986656846067902
18795.15220867735	9.303836656591698e-06	665000752340.4692	2.48571232024526e+25	182.91464252035786	198.5022031506973	2.9917876744168543	0.9986656846067902
19212.82225775907	9.937594701925493e-06	664958016475.3829	2.485613972282541e+25	182.91546982719007	198.48944172317258	2.9917928426066482	0.9986656846067902
19630.49230684079	1.059947223251117e-05	664914346988.038	2.4855134732672345e+25	182.91631526644133	198.47640150547673	2.9917981240456033	0.9986656846067902
20048.16235592251	1.1290076767939282e-05	664869744244.3282	2.4854108238784783e+25	182.91717883484725	198.4630826068905	2.991803518711755	0.9986656846067902
20465.832405004232	1.2010015585121793e-05	664824208617.8987	2.4853060248098214e+25	182.9180605290733	198.44948513900928	2.9918090265826716	0.9986656846067902
20883.502454085952	1.27598957132112e-05	664777740490.112	2.4851990767692133e+25	182.9189603457166	198.43560921573524	2.9918146476354566	0.9986656846067902
21301.172503167672	1.3540323928524814e-05	664730340250.0944	2.48508998047899e+25	182.91987828130385	198.4214549532863	2.9918203818467433	0.9986656846067902
21718.842552249393	1.4351906749474315e-05	664682008294.6512	2.4849787366758613e+25	182.92081433229336	198.407022470177	2.9918262291927022	0.9986656846067902
22136.512601331113	1.5195250431500721e-05	664632745028.365	2.4848653461108975e+25	182.92176849507237	198.39231188724196	2.9918321896490307	0.9986656846067902
22554.182650412833	1.607096096201484e-05	664582550863.4697	2.484749809549518e+25	182.92274076596053	198.37732332760376	2.9918382631909672	0.9986656846067902
22971.852699494553	1.6979644055343286e-05	664531426219.9296	2.484632127771476e+25	182.92373114120744	198.36205691669187	2.9918444497932803	0.9986656846067902
23389.522748576273	1.7921905147680248e-05	664479371525.3986	2.4845123015708438e+25	182.92473961699324	198.34651278223225	2.991850749430273	0.9986656846067902
23807.192797657994	1.8898349392044987e-05	664426387215.1909	2.484390331756001e+25	182.92576618942957	198.33069105424093	2.9918571620757857	0.9986656846067902
24224.862846739714	1.9909581653245346e-05	664372473732.3346	2.4842662191496197e+25	182.9268108545583	198.31459186503395	2.9918636877031903	0.9986656846067902
24642.532895821434	2.0956206502847137e-05	664317631527.4832	2.484139964588649e+25	182.92787360835254	198.29821534920927	2.9918703262853974	0.9986656846067902
25060.202944903154	2.2038828214149743e-05	664261861058.9565	2.4840115689243017e+25	182.9289544467165	198.28156164365026	2.9918770777948533	0.9986656846067902
25477.872993984874	2.3158050757167906e-05	664205162792.7319	2.4838810330220367e+25	182.9300533654849	198.2646308875319	2.991883942203538	0.9986656846067902
25895.543043066595	2.4314477793619798e-05	664147537202.4222	2.4837483577615464e+25	182.93117036042364	198.24742322230549	2.991890919482969	0.9986656846067902
26313.213092148315	2.550871267192154e-05	664088984769.2443	2.48361354403674e+25	182.93230542723032	198.22993879169601	2.991898009604203	0.9986656846067902
26730.883141230035	2.6741358422188258e-05	664029505982.0594	2.4834765927557284e+25	182.93345856153317	198.21217774170964	2.991905212537832	0.9986656846067902
27148.553190311755	2.8013017751241707e-05	663969101337.3112	2.4833375048408067e+25	182.93462975889196	198.19414022061935	2.991912528253986	0.9986656846067902
27566.223239393476	2.9324293037624672e-05	663907771339.0631	2.4831962812284385e+25	182.93581901479737	198.17582637897206	2.9919199567223336	0.9986656846067902
27983.893288475196	3.067578632662218e-05	663845516498.9519	2.483052922869242e+25	182.93702632467154	198.1572363695783	2.9919274979120805	0.9986656846067902
28401.563337556916	3.20680993252896e-05	663782337336.1858	2.482907430727969e+25	182.93825168386851	198.1383703475073	2.991935151791975	0.9986656846067902
28819.233386638636	3.350183339748783e-05	663718234377.5608	2.4827598057834907e+25	182.93949508767284	198.11922847009743	2.9919429183302984	0.9986656846067902
29236.903435720356	3.497758955892558e-05	663653208157.3953	2.48261004902878e+25	182.94075653130164	198.09981089693213	2.991950797494879	0.9986656846067902
29654.573484802077	3.649596847220882e-05	663587259217.5806	2.482458161470893e+25	182.9420360099028	198.08011778985627	2.99195878925308	0.9986656846067902
30072.243533883797	3.805757044189774e-05	663520388107.5233	2.4823041441309528e+25	182.94333351855627	198.06014931296028	2.9919668935718082	0.9986656846067902
30489.913582965517	3.9662995409570865e-05	663452595384.156	2.4821479980441308e+25	182.9446490522736	198.0399056325826	2.991975110417509	0.9986656846067902
30907.583632047237	4.131284294889694e-05	663383881611.9185	2.481989724259628e+25	182.9459826059982	198.01938691730305	2.9919834397561718	0.9986656846067902
31325.253681128957	4.3007712260714306e-05	663314247362.7748	2.481829323840657e+25	182.94733417460444	197.9985933379485	2.991991881553324	0.9986656846067902
31742.923730210678	4.474820216811806e-05	663243693216.1377	2.481666797864425e+25	182.94870375290012	197.97752506757016	2.992000435774041	0.9986656846067902
32160.593779292398	4.653491111155494e-05	663172219758.9059	2.4815021474221106e+25	182.95009133562397	197.9561822814576	2.9920091023829367	0.9986656846067902
32578.263828374118	4.836843714392633e-05	663099827585.4652	2.4813353736188495e+25	182.9514969174469	197.93456515713342	2.992017881344169	0.9986656846067902
32995.933877455835	5.024937792569897e-05	663026517297.6305	2.4811664775737122e+25	182.9529204929718	197.91267387434073	2.9920267726214402	0.9986656846067902
33413.60392653755	5.217833072002414e-05	662952289504.6708	2.480995460419685e+25	182.9543620567339	197.89050861504862	2.992035776177996	0.9986656846067902
33831.27397561927	5.4155892387864775e-05	662877144823.2539	2.4808223233036514e+25	182.955821603201	197.86806956343543	2.99204489197663	0.9986656846067902
34248.944024700984	5.6182659383131e-05	662801083877.501	2.480647067386369e+25	182.95729912677228	197.84535690590607	2.9920541199796755	0.9986656846067902
34666.6140737827	5.825922774782411e-05	662724107298.907	2.4804696938424527e+25	182.9587946217802	197.8223708310676	2.9920634601490157	0.9986656846067902
35084.28412286442	6.038619310718893e-05	662646215726.3652	2.4802902038603517e+25	182.96030808248915	197.79911152973668	2.9920729124460785	0.9986656846067902
35501.954171946134	6.25641506648749e-05	662567409806.1414	2.48010859864233e+25	182.961839503096	197.77557919493316	2.992082476831839	0.9986656846067902
35919.62422102785	6.479369519810578e-05	662487690191.876	2.479924879404445e+25	182.96338887773052	197.75177402187563	2.9920921532668183	0.9986656846067902
36337.29427010957	6.707542105285823e-05	662407057544.5536	2.4797390473765253e+25	182.9649562004546	197.727696207981	2.992101941711085	0.9986656846067902
36754.964319191284	6.940992213904904e-05	662325512532.4828	2.479551103802151e+25	182.9665414652633	197.70334595285115	2.9921118421242583	0.9986656846067902
37172.634368273	7.179779192573166e-05	662243055831.3066	2.4793610499386295e+25	182.96814466608456	197.67872345827777	2.9921218544655046	0.9986656846067902
37590.30441735472	7.423962343630161e-05	662159688123.9895	2.4791688870569775e+25	182.96976579677874	197.6538289282406	2.992131978693538	0.9986656846067902
38007.97446643643	7.673600924371104e-05	662075410100.7654	2.4789746164418946e+25	182.97140485113943	197.62866256889	2.992142214766625	0.9986656846067902
38425.64451551815	7.928754146569265e-05	661990222459.1687	2.4787782393917436e+25	182.9730618228932	197.60322458855723	2.992152562642581	0.9986656846067902
38843.31456459987	8.18948117599929e-05	661904125903.9977	2.478579757218526e+25	182.9747367056997	197.57751519774226	2.9921630222787723	0.9986656846067902
39260.98461368158	8.45584113196147e-05	661817121147.302	2.478379171247861e+25	182.97642949315178	197.55153460911046	2.9921735936321174	0.9986656846067902
39678.6546627633	8.72789308680696e-05	661729208908.3698	2.478176482818962e+25	182.97814017877542	197.52528303748986	2.9921842766590863	0.9986656846067902
40096.324711845016	9.005696065463958e-05	661640389913.7166	2.4779716932846115e+25	182.9798687560304	197.49876069986848	2.9921950713157006	0.9986656846067902
40513.99476092673	9.289309044964877e-05	661550664897.0656	2.4777648040111397e+25	182.98161521830923	197.47196781538287	2.992205977557537	0.9986656846067902
