R	M	log_10_P0	g_surf_(m/s^2)
20788372.1071707	0.5510706432652659	22.0	84633.59952902237
18181184.96635379	0.5810412466949504	22.122448979591837	116662.7207331161
16155821.485334788	0.6122482774133404	22.244897959183675	155679.47885405133
14529972.425079878	0.6445216507812831	22.367346938775512	202610.30404915893
13197233.696976202	0.6775803729163689	22.489795918367346	258190.1314224924
12077837.791700915	0.7112403721371235	22.612244897959183	323573.51650802017
11173855.694952903	0.741625097164985	22.73469387755102	394188.2297401759
10330308.483917098	0.7751676941708011	22.857142857142858	482040.26099801273
9592847.44140942	0.8092205767243661	22.979591836734695	583544.678792399
8942002.149252087	0.8432573227778041	23.10204081632653	699809.9107103342
8359408.557942008	0.8770137226678585	23.224489795918366	832781.7061914748
7833384.625343358	0.9105017633659782	23.346938775510203	984562.4111661296
7356193.142063913	0.9430673452121434	23.46938775510204	1156331.7863611823
6918548.777203472	0.9747225334247348	23.591836734693878	1351078.9100954207
6515415.168505284	1.0054342366461937	23.714285714285715	1571382.68980883
6142495.626326672	1.035037632152545	23.836734693877553	1819955.215184723
5795429.41235719	1.0633644024086295	23.959183673469386	2100322.1959068794
5471261.745677052	1.09039102864246	24.081632653061224	2416362.2083183867
5170461.415487995	1.115246324462708	24.20408163265306	2767234.0394900185
4889104.188288799	1.1376800009193686	24.3265306122449	3156991.4552789317
4621488.493045802	1.1586757599552704	24.448979591836736	3598213.2955508283
4368492.573407878	1.1784009164910914	24.57142857142857	4095379.599503988
4127969.1441164576	1.196918845031279	24.693877551020407	4658329.161763247
3900227.793058883	1.2142262753976214	24.816326530612244	5293349.802844266
3685339.313721625	1.2299731848219952	24.93877551020408	6005135.315738138
3480797.860253962	1.2445184551945563	25.06122448979592	6810755.592713699
3286569.8931578454	1.2579947360034485	25.183673469387756	7721687.743807817
3102229.1276803827	1.2704649548551101	25.306122448979593	8751847.179263808
2927089.3822292755	1.2819759906782164	25.428571428571427	9918732.376930276
2761051.523839716	1.2925690001248213	25.551020408163264	11238651.365479775
2603483.639894956	1.302284502206431	25.6734693877551	12733988.550381104
2462279.2593731442	1.3091660838092467	25.79591836734694	14310274.711285109
2327800.263880022	1.310715576227016	25.918367346938776	16028930.528361883
2193158.997430352	1.313099899604636	26.04081632653061	18088361.22154658
2064307.838253649	1.3171554418585136	26.163265306122447	20477608.606536057
1944921.3089440304	1.3189845339419966	26.285714285714285	23098044.232660994
1830565.797177979	1.3202717417505918	26.408163265306122	26096174.3910234
1721520.923707024	1.3213792214274749	26.53061224489796	29527555.823419042
1617826.2140412563	1.3224411049582097	26.653061224489797	33455931.82332234
1519349.2507119437	1.3235094626874617	26.775510204081634	37957997.993747704
1424399.9600657902	1.3252518150211408	26.89795918367347	43236418.50277119
1335074.3475400333	1.3280705468020317	27.020408163265305	49310867.66831483
1252909.672686292	1.329630183273038	27.142857142857142	56045170.152872644
1174763.336502199	1.3308185115485296	27.26530612244898	63792959.41210015
1100708.0294933587	1.3325526517475608	27.387755102040817	72743575.1997324
1030892.325818436	1.3341942523728496	27.51020408163265	83011709.26249287
966200.4011003829	1.3350049210069495	27.632653061224488	94532827.59556407
905188.9366926337	1.335413278711524	27.755102040816325	107708717.59925063
847416.236078623	1.3357222606743573	27.877551020408163	122887058.9652726
798892.4504016815	1.3320835140980292	28.0	137854459.2740508
