R	M	log_10_P0
10346460.211388148	0.398457665389315	21.5
9427409.634307982	0.4840547571583508	21.854166666666668
8552464.297428725	0.5787313927477592	22.208333333333332
7721191.60166189	0.6805581159249255	22.5625
6933340.613579465	0.7840122468221816	22.916666666666668
6186635.860898053	0.8863553655828041	23.270833333333332
5487825.873850102	0.9839077813245397	23.625
4847202.0407523755	1.0687872283525521	23.979166666666668
4246493.466438114	1.1366198899699016	24.333333333333332
3691343.9616909283	1.2008884262402635	24.6875
3192853.1986266975	1.25588438957943	25.041666666666668
2749939.6031539137	1.2977333216988522	25.395833333333332
2367314.93296642	1.319524061739353	25.75
2014063.4024638543	1.33736534454631	26.104166666666668
1708655.3005845004	1.3441026756508225	26.458333333333336
1438027.3868901685	1.3498872037515073	26.8125
1203874.1430207402	1.355561250788969	27.166666666666668
1004018.669305479	1.3601995655751962	27.520833333333336
839985.1501196243	1.358330990429675	27.875
692728.6155448566	1.3550119855354443	28.229166666666668
588958.5833556427	1.330285001347047	28.583333333333336
498852.55775326106	1.2710826499976067	28.9375
412944.3910413833	1.2158453323612273	29.291666666666668
327671.9070540004	1.2009242997714988	29.645833333333336
272846.3299866556	1.1623202089755775	30.0
