R	M	xws0
284500.0	1.15219550472775	1.0
331089.8033875564	1.185093854786725	1.0689655172413792
382457.4424616324	1.2177294521118884	1.1379310344827587
434265.1764138952	1.2356773188701118	1.206896551724138
526718.2913764529	1.256427582793649	1.2758620689655173
604975.4437546543	1.2980436292307875	1.3448275862068966
686175.9281823233	1.3396671082848075	1.4137931034482758
763342.7832592163	1.3530245665774923	1.4827586206896552
886584.2332212365	1.36220717308519	1.5517241379310345
1017408.1895136704	1.3607470465616371	1.6206896551724137
1174084.9514649047	1.3574497633452498	1.6896551724137931
1351634.0457128382	1.3536330379891126	1.7586206896551724
1552634.306452624	1.3496934928883864	1.8275862068965516
1777553.1052997913	1.3465879289304767	1.896551724137931
2024332.8770371769	1.3437868851512536	1.9655172413793103
2289327.3729162877	1.3384288006617444	2.0344827586206895
2573754.341031255	1.3196644590033875	2.103448275862069
2908335.5057768906	1.2930941793349244	2.1724137931034484
3272976.454126821	1.2598334373923163	2.2413793103448274
3676567.3680226137	1.221000072627697	2.310344827586207
4106626.7832938256	1.174074034369103	2.3793103448275863
4589625.908605556	1.11802019949091	2.4482758620689653
5099682.020077886	1.0532899990500564	2.5172413793103448
5662270.442966176	0.9791215909760763	2.586206896551724
6277517.949565841	0.8970081808628595	2.655172413793103
6951610.468204774	0.8105200106698864	2.7241379310344827
7689407.118092983	0.7213551117762265	2.793103448275862
8509173.825959258	0.6357431864483247	2.862068965517241
9377093.229971247	0.551454604505492	2.9310344827586206
10371541.051464373	0.4698175532007882	3.0
