R	M	log_10_P0	g_surf_(m/s^2)
27412216.62705668	0.16188722113184692	20.0	14299.708754612606
19960160.642674208	0.20882499678877353	20.416666666666668	34789.76597896786
15836016.978027401	0.26911900763524593	20.833333333333332	71226.42767675202
13143272.899919901	0.3445182638203013	21.25	132367.7172313913
11180992.872502757	0.435509133920367	21.666666666666668	231204.91515958612
9636127.097152269	0.5412421094399373	22.083333333333332	386834.306520166
8351162.5116245	0.6563059089978284	22.5	624485.1531763088
7236317.672685319	0.776118185083126	22.916666666666668	983479.9240722863
6251536.025675613	0.8939720204061348	23.333333333333332	1517670.3808851233
5376698.871763972	1.0011295735122439	23.75	2297367.2387475907
4591631.66337798	1.0944722740461097	24.166666666666668	3443303.2606917466
3893937.8675882965	1.172686947346974	24.583333333333336	5128944.770680813
3283797.9173572715	1.2331625050546557	25.0	7582211.932551107
2750724.7247662786	1.2711033491750776	25.416666666666668	11135349.53014873
2281194.3762787622	1.2998920798332936	25.833333333333336	16552421.58424912
1877636.1221654613	1.321873585518273	26.25	24835529.002126478
1544063.2907262284	1.3342274378954786	26.666666666666668	37051019.01454472
1265540.730447287	1.3204543865935283	27.083333333333336	54555804.29390285
1022010.8256098685	1.310437920922073	27.5	82959822.75887676
818699.8699169905	1.305297182295912	27.916666666666668	128653066.77993406
652858.6649484773	1.3026772065492542	28.333333333333336	201670074.2166012
519127.1290942662	1.300343199532891	28.75	317903609.5450723
436279.29103968403	1.2437234479864425	29.166666666666668	430063165.29281104
358114.59773457784	1.1523750163463349	29.583333333333336	590761406.5479196
283722.09295637073	1.0782257353666438	30.0	879084654.5439643
