# r[m]	m[Msun]	rho[kg/m^3]	P[Pa]	ne[pm^-3]	np[pm^-3]	muF_e[MeV]	B
1.111305166319128161e-04	5.115238069375393245e-32	1.769750423518374190e+07	1.865663578576907393e+23	5.217399574648470484e+00	6.617657356666034607e-01	6.647242031739013512e-01	9.999999997960067333e-01
1.129380644192206175e-04	5.368919250310155453e-32	1.769750423518374190e+07	1.865663578576907393e+23	5.217399574648470484e+00	6.617657356666034607e-01	6.647242031739013512e-01	9.999999997960067333e-01
1.147750121328709727e-04	5.635181300539282299e-32	1.769750423518374190e+07	1.865663578576907393e+23	5.217399574648470484e+00	6.617657356666034607e-01	6.647242031739013512e-01	9.999999997960067333e-01
1.166418379652942234e-04	5.914648146014345428e-32	1.769750423518374190e+07	1.865663578576907393e+23	5.217399574648470484e+00	6.617657356666034607e-01	6.647242031739013512e-01	9.999999997960067333e-01
1.185390278867628838e-04	6.207974655190418422e-32	1.769750423518374190e+07	1.865663578576907393e+23	5.217399574648470484e+00	6.617657356666034607e-01	6.647242031739013512e-01	9.999999997960067333e-01
1.204670757718998193e-04	6.515848173564914608e-32	1.769750423518374190e+07	1.865663578576907393e+23	5.217399574648470484e+00	6.617657356666034607e-01	6.647242031739013512e-01	9.999999997960067333e-01
1.224264835282425068e-04	6.838990134318935564e-32	1.769750423518374190e+07	1.865663578576907393e+23	5.217399574648470484e+00	6.617657356666034607e-01	6.647242031739013512e-01	9.999999997960067333e-01
1.244177612268992895e-04	7.178157748835642702e-32	1.769750423518374190e+07	1.865663578576907393e+23	5.217399574648470484e+00	6.617657356666034607e-01	6.647242031739013512e-01	9.999999997960067333e-01
1.264414272353311290e-04	7.534145781056984731e-32	1.769750423518374190e+07	1.865663578576907393e+23	5.217399574648470484e+00	6.617657356666034607e-01	6.647242031739013512e-01	9.999999997960067333e-01
1.284980083522915708e-04	7.907788409836228831e-32	1.769750423518374190e+07	1.865663578576907393e+23	5.217399574648470484e+00	6.617657356666034607e-01	6.647242031739013512e-01	9.999999997960067333e-01
1.305880399449634380e-04	8.299961183650927531e-32	1.769750423518374190e+07	1.865663578576907393e+23	5.217399574648470484e+00	6.617657356666034607e-01	6.647242031739013512e-01	9.999999997960067333e-01
1.327120660883242926e-04	8.711583072256077767e-32	1.769750423518374190e+07	1.865663578576907393e+23	5.217399574648470484e+00	6.617657356666034607e-01	6.647242031739013512e-01	9.999999997960067333e-01
1.348706397067798318e-04	9.143618620085607414e-32	1.769750423518374190e+07	1.865663578576907393e+23	5.217399574648470484e+00	6.617657356666034607e-01	6.647242031739013512e-01	9.999999997960067333e-01
1.370643227181010497e-04	9.597080206448026410e-32	1.769750423518374190e+07	1.865663578576907393e+23	5.217399574648470484e+00	6.617657356666034607e-01	6.647242031739013512e-01	9.999999997960067333e-01
1.392936861797011629e-04	1.007303041781218617e-31	1.769750423518374190e+07	1.865663578576907393e+23	5.217399574648470484e+00	6.617657356666034607e-01	6.647242031739013512e-01	9.999999997960067333e-01
1.415593104372938227e-04	1.057258453774279565e-31	1.769750423518374190e+07	1.865663578576907393e+23	5.217399574648470484e+00	6.617657356666034607e-01	6.647242031739013512e-01	9.999999997960067333e-01
1.438617852759671741e-04	1.109691316031944195e-31	1.769750423518374190e+07	1.865663578576907393e+23	5.217399574648470484e+00	6.617657356666034607e-01	6.647242031739013512e-01	9.999999997960067333e-01
1.462017100737165055e-04	1.164724493316377165e-31	1.769750423518374190e+07	1.865663578576907393e+23	5.217399574648470484e+00	6.617657356666034607e-01	6.647242031739013512e-01	9.999999997960067333e-01
1.485796939574742502e-04	1.222486943650231753e-31	1.769750423518374190e+07	1.865663578576907393e+23	5.217399574648470484e+00	6.617657356666034607e-01	6.647242031739013512e-01	9.999999997960067333e-01
1.509963559616762886e-04	1.283114020501098341e-31	1.769750423518374190e+07	1.865663578576907393e+23	5.217399574648470484e+00	6.617657356666034607e-01	6.647242031739013512e-01	9.999999997960067333e-01
1.534523251894094923e-04	1.346747789952305737e-31	1.769750423518374190e+07	1.865663578576907393e+23	5.217399574648470484e+00	6.617657356666034607e-01	6.647242031739013512e-01	9.999999997960067333e-01
1.559482409761781853e-04	1.413537363603195062e-31	1.769750423518374190e+07	1.865663578576907393e+23	5.217399574648470484e+00	6.617657356666034607e-01	6.647242031739013512e-01	9.999999997960067333e-01
1.584847530563359265e-04	1.483639247979034760e-31	1.769750423518374190e+07	1.865663578576907393e+23	5.217399574648470484e+00	6.617657356666034607e-01	6.647242031739013512e-01	9.999999997960067333e-01
1.610625217322240034e-04	1.557217711269296290e-31	1.769750423518374190e+07	1.865663578576907393e+23	5.217399574648470484e+00	6.617657356666034607e-01	6.647242031739013512e-01	9.999999997960067333e-01
1.636822180460596786e-04	1.634445168253626502e-31	1.769750423518374190e+07	1.865663578576907393e+23	5.217399574648470484e+00	6.617657356666034607e-01	6.647242031739013512e-01	9.999999997960067333e-01
1.663445239546225733e-04	1.715502584317611783e-31	1.769750423518374190e+07	1.865663578576907393e+23	5.217399574648470484e+00	6.617657356666034607e-01	6.647242031739013512e-01	9.999999997960067333e-01
1.690501325067797348e-04	1.800579899504912164e-31	1.769750423518374190e+07	1.865663578576907393e+23	5.217399574648470484e+00	6.617657356666034607e-01	6.647242031739013512e-01	9.999999997960067333e-01
1.717997480239000230e-04	1.889876473599566279e-31	1.769750423518374190e+07	1.865663578576907393e+23	5.217399574648470484e+00	6.617657356666034607e-01	6.647242031739013512e-01	9.999999997960067333e-01
1.745940862832028072e-04	1.983601553281361872e-31	1.769750423518374190e+07	1.865663578576907393e+23	5.217399574648470484e+00	6.617657356666034607e-01	6.647242031739013512e-01	9.999999997960067333e-01
1.774338747040874072e-04	2.081974762448904678e-31	1.769750423518374190e+07	1.865663578576907393e+23	5.217399574648470484e+00	6.617657356666034607e-01	6.647242031739013512e-01	9.999999997960067333e-01
1.803198525374947211e-04	2.185226616859440367e-31	1.769750423518374190e+07	1.865663578576907393e+23	5.217399574648470484e+00	6.617657356666034607e-01	6.647242031739013512e-01	9.999999997960067333e-01
1.832527710583487749e-04	2.293599064291328752e-31	1.769750423518374190e+07	1.865663578576907393e+23	5.217399574648470484e+00	6.617657356666034607e-01	6.647242031739013512e-01	9.999999997960067333e-01
1.862333937611267089e-04	2.407346051494859165e-31	1.769750423518374190e+07	1.865663578576907393e+23	5.217399574648470484e+00	6.617657356666034607e-01	6.647242031739013512e-01	9.999999997960067333e-01
1.892624965586123080e-04	2.526734119260084925e-31	1.769750423518374190e+07	1.865663578576907393e+23	5.217399574648470484e+00	6.617657356666034607e-01	6.647242031739013512e-01	9.999999997960067333e-01
1.923408679838795867e-04	2.652043026995893555e-31	1.769750423518374190e+07	1.865663578576907393e+23	5.217399574648470484e+00	6.617657356666034607e-01	6.647242031739013512e-01	9.999999997960067333e-01
1.954693093955634853e-04	2.783566408284035547e-31	1.769750423518374190e+07	1.865663578576907393e+23	5.217399574648470484e+00	6.617657356666034607e-01	6.647242031739013512e-01	9.999999997960067333e-01
1.986486351864693396e-04	2.921612458944205419e-31	1.769750423518374190e+07	1.865663578576907393e+23	5.217399574648470484e+00	6.617657356666034607e-01	6.647242031739013512e-01	9.999999997960067333e-01
2.018796729955735453e-04	3.066504659222409684e-31	1.769750423518374190e+07	1.865663578576907393e+23	5.217399574648470484e+00	6.617657356666034607e-01	6.647242031739013512e-01	9.999999997960067333e-01
2.051632639234751839e-04	3.218582531795109558e-31	1.769750423518374190e+07	1.865663578576907393e+23	5.217399574648470484e+00	6.617657356666034607e-01	6.647242031739013512e-01	9.999999997960067333e-01
2.085002627513491877e-04	3.378202437365113013e-31	1.769750423518374190e+07	1.865663578576907393e+23	5.217399574648470484e+00	6.617657356666034607e-01	6.647242031739013512e-01	9.999999997960067333e-01
2.118915381634626539e-04	3.545738409713720829e-31	1.769750423518374190e+07	1.865663578576907393e+23	5.217399574648470484e+00	6.617657356666034607e-01	6.647242031739013512e-01	9.999999997960067333e-01
2.153379729733106323e-04	3.721583032165821019e-31	1.769750423518374190e+07	1.865663578576907393e+23	5.217399574648470484e+00	6.617657356666034607e-01	6.647242031739013512e-01	9.999999997960067333e-01
2.188404643534276833e-04	3.906148357521600634e-31	1.769750423518374190e+07	1.865663578576907393e+23	5.217399574648470484e+00	6.617657356666034607e-01	6.647242031739013512e-01	9.999999997960067333e-01
2.223999240689407473e-04	4.099866873610815564e-31	1.769750423518374190e+07	1.865663578576907393e+23	5.217399574648470484e+00	6.617657356666034607e-01	6.647242031739013512e-01	9.999999997960067333e-01
2.260172787149174255e-04	4.303192516731841716e-31	1.769750423518374190e+07	1.865663578576907393e+23	5.217399574648470484e+00	6.617657356666034607e-01	6.647242031739013512e-01	9.999999997960067333e-01
2.296934699575768125e-04	4.516601735350553908e-31	1.769750423518374190e+07	1.865663578576907393e+23	5.217399574648470484e+00	6.617657356666034607e-01	6.647242031739013512e-01	9.999999997960067333e-01
2.334294547794240574e-04	4.740594606551490500e-31	1.769750423518374190e+07	1.865663578576907393e+23	5.217399574648470484e+00	6.617657356666034607e-01	6.647242031739013512e-01	9.999999997960067333e-01
2.372262057283695293e-04	4.975696007857295059e-31	1.769750423518374190e+07	1.865663578576907393e+23	5.217399574648470484e+00	6.617657356666034607e-01	6.647242031739013512e-01	9.999999997960067333e-01
2.410847111709022762e-04	5.222456847162604300e-31	1.769750423518374190e+07	1.865663578576907393e+23	5.217399574648470484e+00	6.617657356666034607e-01	6.647242031739013512e-01	9.999999997960067333e-01
2.450059755493814192e-04	5.481455353664339596e-31	1.769750423518374190e+07	1.865663578576907393e+23	5.217399574648470484e+00	6.617657356666034607e-01	6.647242031739013512e-01	9.999999997960067333e-01
2.489910196435098566e-04	5.753298432813235282e-31	1.769750423518374190e+07	1.865663578576907393e+23	5.217399574648470484e+00	6.617657356666034607e-01	6.647242031739013512e-01	9.999999997960067333e-01
2.530408808360645723e-04	6.038623088462038909e-31	1.769750423518374190e+07	1.865663578576907393e+23	5.217399574648470484e+00	6.617657356666034607e-01	6.647242031739013512e-01	9.999999997960067333e-01
2.571566133829453768e-04	6.338097915542377804e-31	1.769750423518374190e+07	1.865663578576907393e+23	5.217399574648470484e+00	6.617657356666034607e-01	6.647242031739013512e-01	9.999999997960067333e-01
2.613392886876186503e-04	6.652424666768482028e-31	1.769750423518374190e+07	1.865663578576907393e+23	5.217399574648470484e+00	6.617657356666034607e-01	6.647242031739013512e-01	9.999999997960067333e-01
2.655899955800245568e-04	6.982339897038780362e-31	1.769750423518374190e+07	1.865663578576907393e+23	5.217399574648470484e+00	6.617657356666034607e-01	6.647242031739013512e-01	9.999999997960067333e-01
2.699098406000185546e-04	7.328616689388519700e-31	1.769750423518374190e+07	1.865663578576907393e+23	5.217399574648470484e+00	6.617657356666034607e-01	6.647242031739013512e-01	9.999999997960067333e-01
2.742999482854269460e-04	7.692066466538247989e-31	1.769750423518374190e+07	1.865663578576907393e+23	5.217399574648470484e+00	6.617657356666034607e-01	6.647242031739013512e-01	9.999999997960067333e-01
2.787614614647833606e-04	8.073540892282498455e-31	1.769750423518374190e+07	1.865663578576907393e+23	5.217399574648470484e+00	6.617657356666034607e-01	6.647242031739013512e-01	9.999999997960067333e-01
2.832955415548297660e-04	8.473933867174728039e-31	1.769750423518374190e+07	1.865663578576907393e+23	5.217399574648470484e+00	6.617657356666034607e-01	6.647242031739013512e-01	9.999999997960067333e-01
2.879033688628560559e-04	8.894183623184706952e-31	1.769750423518374190e+07	1.865663578576907393e+23	5.217399574648470484e+00	6.617657356666034607e-01	6.647242031739013512e-01	9.999999997960067333e-01
2.925861428939545970e-04	9.335274922236500927e-31	1.769750423518374190e+07	1.865663578576907393e+23	5.217399574648470484e+00	6.617657356666034607e-01	6.647242031739013512e-01	9.999999997960067333e-01
2.973450826632764179e-04	9.798241363779425325e-31	1.769750423518374190e+07	1.865663578576907393e+23	5.217399574648470484e+00	6.617657356666034607e-01	6.647242031739013512e-01	9.999999997960067333e-01
3.021814270133621689e-04	1.028416780679851337e-30	1.769750423518374190e+07	1.865663578576907393e+23	5.217399574648470484e+00	6.617657356666034607e-01	6.647242031739013512e-01	9.999999997960067333e-01
3.070964349366370281e-04	1.079419291194055079e-30	1.769750423518374190e+07	1.865663578576907393e+23	5.217399574648470484e+00	6.617657356666034607e-01	6.647242031739013512e-01	9.999999997960067333e-01
3.120913859031515742e-04	1.132951180971241969e-30	1.769750423518374190e+07	1.865663578576907393e+23	5.217399574648470484e+00	6.617657356666034607e-01	6.647242031739013512e-01	9.999999997960067333e-01
3.171675801936497236e-04	1.189137890100362206e-30	1.769750423518374190e+07	1.865663578576907393e+23	5.217399574648470484e+00	6.617657356666034607e-01	6.647242031739013512e-01	9.999999997960067333e-01
3.223263392380594137e-04	1.248111079649635300e-30	1.769750423518374190e+07	1.865663578576907393e+23	5.217399574648470484e+00	6.617657356666034607e-01	6.647242031739013512e-01	9.999999997960067333e-01
3.275690059594833347e-04	1.310008940184979640e-30	1.769750423518374190e+07	1.865663578576907393e+23	5.217399574648470484e+00	6.617657356666034607e-01	6.647242031739013512e-01	9.999999997960067333e-01
3.328969451237885906e-04	1.374976515588910122e-30	1.769750423518374190e+07	1.865663578576907393e+23	5.217399574648470484e+00	6.617657356666034607e-01	6.647242031739013512e-01	9.999999997960067333e-01
3.383115436948820240e-04	1.443166042938661079e-30	1.769750423518374190e+07	1.865663578576907393e+23	5.217399574648470484e+00	6.617657356666034607e-01	6.647242031739013512e-01	9.999999997960067333e-01
3.438142111957611410e-04	1.514737309239920270e-30	1.769750423518374190e+07	1.865663578576907393e+23	5.217399574648470484e+00	6.617657356666034607e-01	6.647242031739013512e-01	9.999999997960067333e-01
