r[m]	m[Msun]	rho[g/cm^3]	P[Pa]	ne[pm^-3]	np[pm^-3]	muF_e[MeV]	B
217.52040340195222	1.5799167359337893e-10	7289208507.57051	6.493816315762113e+26	2086.962580794185	271.77568523074825	7.307511247555033	0.9972682842635224
435.04080680390445	1.2639326458702524e-09	7289199643.873457	6.493805731373111e+26	2086.9600349374255	271.77535509469914	7.307508083443638	0.9972682842635224
652.5612102058567	4.265767553495328e-09	7289184871.074494	6.493788090769693e+26	2086.955791851307	271.77480486904733	7.307502809926613	0.9972682842635224
870.0816136078089	1.0111431837086488e-08	7289164189.21906	6.49376339402067e+26	2086.9498515489126	271.7740345554828	7.307495427007347	0.9972682842635224
1087.602017009761	1.974884710490368e-08	7289137598.370389	6.493731641222032e+26	2086.942214048445	271.77304415635854	7.307485934690454	0.9972682842635224
1305.1224204117134	3.412591652222627e-08	7289105098.609758	6.493692832497142e+26	2086.932879373317	271.7718336747006	7.307474332981874	0.9972682842635224
1522.6428238136657	5.419052020087123e-08	7289066690.036479	6.493646967996755e+26	2086.9218475521334	271.77040311420535	7.307460621888852	0.9972682842635224
1740.163227215618	8.089051058888763e-08	7289022372.768049	6.493594047899034e+26	2086.9091186187056	271.7687524792428	7.307444801419961	0.9972682842635224
1957.6836306175703	1.1517370786046299e-07	7288972146.939911	6.49353407240954e+26	2086.8946926120484	271.7668817748552	7.307426871585093	0.9972682842635224
2175.2040340195226	1.5798789530607643e-07	7288916012.705513	6.493467041761239e+26	2086.878569576355	271.76479100675425	7.307406832395436	0.9972682842635224
2392.7244374214747	2.1028081472293316e-07	7288853970.236459	6.493392956214498e+26	2086.8607495610236	271.76248018132407	7.307384683863495	0.9972682842635224
2610.244840823427	2.730001618057168e-07	7288786019.722441	6.493311816057081e+26	2086.8412326206867	271.7599493056253	7.307360426003136	0.9972682842635224
2827.765244225379	3.470935815376928e-07	7288712161.371099	6.493223621604155e+26	2086.8200188151295	271.75719838738473	7.307334058829494	0.9972682842635224
3045.285647627331	4.335086635822009e-07	7288632395.408128	6.493128373198275e+26	2086.7971082093445	271.7542274350016	7.307305582359022	0.9972682842635224
3262.806051029283	5.33192937674569e-07	7288546722.077436	6.493026071209392e+26	2086.7725008735665	271.75103645755394	7.30727499660955	0.9972682842635224
3480.326454431235	6.470938690144852e-07	7288455141.640748	6.492916716034847e+26	2086.7461968831585	271.7476254647807	7.307242301600136	0.9972682842635224
3697.846857833187	7.761588536588644e-07	7288357654.378054	6.492800308099367e+26	2086.7181963187436	271.7439944671021	7.307207497351237	0.9972682842635224
3915.3672612351393	9.213352139152398e-07	7288254260.587222	6.492676847855059e+26	2086.688499266088	271.7401434756025	7.307170583884556	0.9972682842635224
4132.887664637092	1.0835701937357219e-06	7288144960.58432	6.492546335781418e+26	2086.6571058162144	271.7360725020455	7.307131561223189	0.9972682842635224
4350.408068039044	1.263810954111554e-06	7288029754.703319	6.49240877238531e+26	2086.624016065292	271.7317815588606	7.307090429391494	0.9972682842635224
4567.928471440997	1.4630045684682998e-06	7287908643.29633	6.492264158200974e+26	2086.5892301146996	271.72727065914944	7.307047188415152	0.9972682842635224
4785.448874842949	1.6820980180617048e-06	7287781626.733421	6.492112493790018e+26	2086.5527480710066	271.7225398166851	7.307001838321168	0.9972682842635224
5002.969278244902	1.922038187374258e-06	7287648705.402825	6.491953779741411e+26	2086.5145700460075	271.7175890459164	7.3069543791378955	0.9972682842635224
5220.4896816468545	2.1837718595124908e-06	7287509879.710636	6.491788016671489e+26	2086.474696156634	271.71241836195514	7.306904810894936	0.9972682842635224
5438.010085048807	2.4682457116050596e-06	7287365150.081144	6.491615205223939e+26	2086.4331265250676	271.7070277805922	7.306853133623282	0.9972682842635224
5655.53048845076	2.776406310201627e-06	7287214516.956553	6.491435346069797e+26	2086.389861278631	271.70141731828306	7.306799347355176	0.9972682842635224
5873.050891852712	3.1092001066725933e-06	7287057980.797164	6.491248439907447e+26	2086.3449005498837	271.69558699215935	7.3067434521242385	0.9972682842635224
6090.571295254665	3.4675734326097077e-06	7286895542.081312	6.49105448746261e+26	2086.2982444765494	271.68953682002063	7.306685447965369	0.9972682842635224
6308.091698656617	3.852472495227594e-06	7286727201.305303	6.490853489488345e+26	2086.24989320154	271.6832668203374	7.30662533491479	0.9972682842635224
6525.61210205857	4.264843372766226e-06	7286552958.983409	6.490645446765038e+26	2086.199846872959	271.6767770122498	7.306563113010032	0.9972682842635224
6743.132505460522	4.705632009894386e-06	7286372815.648019	6.490430360100397e+26	2086.1481056440957	271.6700674155695	7.306498782289954	0.9972682842635224
6960.652908862475	5.175784213114149e-06	7286186771.849569	6.490208230329447e+26	2086.0946696734436	271.66313805078033	7.306432342794745	0.9972682842635224
7178.173312264427	5.676245646166413e-06	7285994828.15637	6.489979058314525e+26	2086.039539124668	271.65598893903365	7.30636379456589	0.9972682842635224
7395.69371566638	6.20796182543753e-06	7285796985.154865	6.489742844945269e+26	2085.9827141666165	271.6486201021524	7.306293137646196	0.9972682842635224
7613.214119068332	6.771878115367059e-06	7285593243.449358	6.489499591138618e+26	2085.9241949733105	271.6410315626269	7.30622037207977	0.9972682842635224
7830.734522470285	7.36893972385667e-06	7285383603.662284	6.4892492978388e+26	2085.8639817239714	271.63322334361953	7.306145497912055	0.9972682842635224
8048.254925872237	8.000091697680253e-06	7285168066.433962	6.488991966017326e+26	2085.8020746030043	271.6251954689628	7.306068515189811	0.9972682842635224
8265.775329274189	8.66627891789526e-06	7284946632.422831	6.48872759667298e+26	2085.738473799978	271.6169479631574	7.3059894239611	0.9972682842635224
8483.29573267614	9.36844609525531e-06	7284719302.305179	6.488456190831817e+26	2085.6731795096543	271.6084808513737	7.305908224275314	0.9972682842635224
8700.816136078092	1.0107537765624081e-05	7284486076.775409	6.488177749547153e+26	2085.6061919319745	271.5997941594528	7.30582491618316	0.9972682842635224
8918.336539480044	1.0884498285390552e-05	7284246956.54576	6.487892273899553e+26	2085.5375112720276	271.59088791390025	7.305739499736624	0.9972682842635224
9135.856942881996	1.1700271826885612e-05	7284001942.346552	6.487599764996829e+26	2085.467137740117	271.5817621418955	7.3056519749890585	0.9972682842635224
