R	M	log_10_P0
10969408.046402536	0.40152095622767653	21.5
9886190.320450353	0.48682675360065353	21.854166666666668
8896883.16485375	0.5814680797972835	22.208333333333332
7987598.890670165	0.6828220374215546	22.5625
7142649.009461118	0.7822839324855828	22.916666666666668
6334439.448018482	0.8809908076813453	23.270833333333332
5605833.483385809	0.9791886988107923	23.625
4938628.419416476	1.0685078476105798	23.979166666666668
4334380.143346587	1.1438331245340905	24.333333333333332
3778158.259943317	1.2041941711563822	24.6875
3261685.8823051252	1.2466702637876612	25.041666666666668
2809248.750123495	1.289107022652335	25.395833333333332
2410247.3530637072	1.3244105565510185	25.75
2066509.8304837127	1.3355586423931425	26.104166666666668
1746807.5019612536	1.3289421684394298	26.458333333333336
1468262.7229630363	1.3344423983120106	26.8125
1231591.8899820782	1.3492509101210086	27.166666666666668
1029134.8336408267	1.3569551280006256	27.520833333333336
857187.5765945265	1.355917959763904	27.875
724901.1301506894	1.301687702668322	28.229166666666668
600121.8506218608	1.2373330620490512	28.583333333333336
493456.9057028323	1.1874078023723191	28.9375
406416.17497043015	1.1619905897309974	29.291666666666668
327022.9349658486	1.162150783689887	29.645833333333336
269939.44403161656	1.1516157281537038	30.0
