R	M	log_10_P0	g_surf_(m/s^2)
800965226.4108039	5.5239400394974325	20.0	571.5092911756016
837974659.4926422	5.5806517161150575	20.416666666666668	527.503219920379
769366491.5240186	3.356904334926678	20.833333333333332	376.4240329369881
87124423.06485784	0.4019274716771745	21.25	3514.5720678897324
29519024.706684064	0.4690345159421547	21.666666666666668	35726.53682891046
17546397.271011002	0.5644627570099314	22.083333333333332	121682.63710643756
12485205.088879393	0.6733145730351698	22.5	286660.57635493414
9610997.560617248	0.789034426427606	22.916666666666668	566844.8292667955
7696556.504147491	0.9040468067376706	23.333333333333332	1012646.2975536372
6293457.861309198	1.0091368880098934	23.75	1690348.1702553497
5187526.039223218	1.1008742249518493	24.166666666666668	2713659.078113878
4286965.383774041	1.1778218997508332	24.583333333333336	4250475.847417112
3546005.0120010343	1.2373014232822068	25.0	6524683.372016251
2927957.4815231785	1.2744165122792122	25.416666666666668	9854477.250767553
2399747.8610938815	1.3025222245921277	25.833333333333336	14988822.250601415
1956596.0286003605	1.3239542016063406	26.25	22909316.818883713
1596727.0099527705	1.3358920505374987	26.666666666666668	34693316.8814952
1301331.2646251575	1.3217657017818674	27.083333333333336	51651649.566330425
1045480.8028159366	1.311456150388622	27.5	79345046.39064306
833879.8592028412	1.3060874504667435	27.916666666666668	124097108.54155071
662578.4062750982	1.3032919271964363	28.333333333333336	195905539.08538967
525340.3041826388	1.3008207648951948	28.75	310568962.8312307
440862.9321107788	1.244122067333817	29.166666666666668	421337994.3056005
361418.4556378963	1.1526840311768198	29.583333333333336	580214994.6856647
285977.43550769414	1.0784574175063695	30.0	865534966.4828577
