xWS	rho[g/cm^3]	n_e[pm^-3]	P[N/m^2]	mu_F_e[MeV]
8.45810e+00	3.81246e+12	9.65619e+05	2.33360e+30	5.98298e+01
9.49779e+00	2.68660e+12	6.84563e+05	1.47513e+30	5.32934e+01
1.06653e+01	1.89367e+12	4.85530e+05	9.33020e+29	4.74723e+01
1.19763e+01	1.33502e+12	3.44146e+05	5.89633e+29	4.22721e+01
1.34484e+01	9.41339e+11	2.43779e+05	3.72310e+29	3.76276e+01
1.51015e+01	6.63856e+11	1.72589e+05	2.34913e+29	3.34813e+01
1.69578e+01	4.68227e+11	1.21958e+05	1.47847e+29	2.97669e+01
1.90423e+01	3.30298e+11	8.62583e+04	9.31615e+28	2.64667e+01
2.13831e+01	2.33234e+11	6.60525e+04	6.52616e+28	2.41711e+01
2.40115e+01	1.64601e+11	4.80466e+04	4.26888e+28	2.16878e+01
2.69631e+01	1.16133e+11	3.38571e+04	2.67653e+28	1.92445e+01
3.02774e+01	8.19467e+10	2.38682e+04	1.67903e+28	1.70730e+01
3.39992e+01	5.78294e+10	1.68274e+04	1.05332e+28	1.51408e+01
3.81784e+01	4.08135e+10	1.18640e+04	6.60790e+27	1.34215e+01
4.28714e+01	2.88066e+10	8.36499e+03	4.14533e+27	1.18917e+01
4.81413e+01	2.03334e+10	5.89817e+03	2.60041e+27	1.05306e+01
5.40589e+01	1.43534e+10	4.15899e+03	1.63117e+27	9.31953e+00
6.07039e+01	1.01326e+10	2.93278e+03	1.02311e+27	8.24208e+00
6.81658e+01	7.15338e+09	2.06819e+03	6.41648e+26	7.28357e+00
7.65449e+01	5.05030e+09	1.46334e+03	4.04117e+26	6.43849e+00
8.59539e+01	3.56588e+09	1.05625e+03	2.61329e+26	5.72698e+00
9.65196e+01	2.51768e+09	7.45466e+02	1.63937e+26	5.04777e+00
1.08384e+02	1.77765e+09	5.25362e+02	1.02598e+26	4.44126e+00
1.21707e+02	1.25517e+09	3.70648e+02	6.42701e+25	3.90378e+00
1.36667e+02	8.86283e+08	2.63379e+02	4.06242e+25	3.43532e+00
1.53467e+02	6.25813e+08	1.84400e+02	2.51514e+25	3.00104e+00
1.72331e+02	4.41904e+08	1.30178e+02	1.57308e+25	2.62481e+00
1.93514e+02	3.12045e+08	9.17502e+01	9.80550e+24	2.28937e+00
2.17302e+02	2.20345e+08	6.41274e+01	6.03430e+24	1.98533e+00
2.44013e+02	1.55600e+08	4.62317e+01	3.86657e+24	1.73879e+00
2.74007e+02	1.09878e+08	3.26053e+01	2.39975e+24	1.50508e+00
3.07689e+02	7.75915e+07	2.30135e+01	1.48735e+24	1.29904e+00
3.45511e+02	5.47921e+07	1.62281e+01	9.18000e+23	1.11683e+00
3.87982e+02	3.86921e+07	1.14532e+01	5.65367e+23	9.56866e-01
4.35673e+02	2.73228e+07	8.08321e+00	3.46852e+23	8.16437e-01
4.89227e+02	1.92940e+07	5.63158e+00	2.08014e+23	6.89300e-01
5.49364e+02	1.36244e+07	4.03630e+00	1.29249e+23	5.87106e-01
6.16893e+02	9.62069e+06	2.84855e+00	7.81470e+22	4.93971e-01
6.92723e+02	6.79336e+06	2.00938e+00	4.69472e+22	4.13403e-01
7.77874e+02	4.79679e+06	1.41657e+00	2.80083e+22	3.44074e-01
8.73492e+02	3.38688e+06	9.99402e-01	1.66240e+22	2.85001e-01
9.80863e+02	2.39124e+06	6.84967e-01	9.38286e+21	2.31076e-01
1.10143e+03	1.68819e+06	4.97529e-01	5.74931e+21	1.92625e-01
1.23682e+03	1.19174e+06	3.50763e-01	3.34682e+21	1.57166e-01
1.38886e+03	8.41194e+05	2.47134e-01	1.93565e+21	1.27633e-01
1.55958e+03	5.93679e+05	1.74084e-01	1.11356e+21	1.03228e-01
1.75128e+03	4.18921e+05	1.22596e-01	6.37589e+20	8.31818e-02
1.96656e+03	2.95541e+05	8.63387e-02	3.63752e+20	6.68205e-02
2.20829e+03	2.08434e+05	6.08445e-02	2.07156e+20	5.35536e-02
2.47974e+03	1.46952e+05	4.28098e-02	1.17441e+20	4.27748e-02
2.78455e+03	1.03559e+05	3.01069e-02	6.64669e+19	3.40830e-02
3.12683e+03	7.29373e+04	2.11628e-02	3.75961e+19	2.70957e-02
3.51119e+03	5.13333e+04	1.48674e-02	2.12841e+19	2.14921e-02
3.94279e+03	3.60953e+04	1.04383e-02	1.20829e+19	1.70059e-02
4.42745e+03	2.53509e+04	7.32390e-03	6.89632e+18	1.34172e-02
4.97168e+03	1.77772e+04	4.85975e-03	3.65733e+18	1.01540e-02
5.58281e+03	1.24428e+04	3.60037e-03	2.31747e+18	8.24470e-03
6.26907e+03	8.68785e+03	2.52213e-03	1.37521e+18	6.38712e-03
7.03967e+03	6.04693e+03	1.76670e-03	8.33423e+17	4.87524e-03
7.90500e+03	4.19156e+03	1.23814e-03	5.17103e+17	3.62733e-03
8.87670e+03	2.88991e+03	8.68797e-04	3.28716e+17	2.57828e-03
9.96785e+03	1.97837e+03	6.10758e-04	2.13822e+17	1.67670e-03
1.11931e+04	1.34150e+03	4.30254e-04	1.41926e+17	8.82825e-04
1.25690e+04	8.97860e+02	3.03809e-04	9.58269e+16	1.67408e-04
1.41140e+04	5.90009e+02	2.15107e-04	6.56246e+16	-4.90545e-04
1.58489e+04	3.77459e+02	1.52602e-04	4.54209e+16	-1.10797e-03
