xWS	rho[g/cm^3]	n_e[pm^-3]	P[N/m^2]	mu_F_e[MeV]
6.03916e-03	7.70229e+21	1.20788e+07	2.89566e+34	1.39557e+02
6.18000e-03	7.18758e+21	1.20788e+07	2.70261e+34	1.39557e+02
6.32414e-03	6.70726e+21	1.20788e+07	2.52246e+34	1.39557e+02
6.47163e-03	6.25904e+21	1.20788e+07	2.35434e+34	1.39557e+02
6.62257e-03	5.84077e+21	1.20788e+07	2.19746e+34	1.39557e+02
6.77702e-03	5.45045e+21	1.20788e+07	2.05107e+34	1.39557e+02
6.93508e-03	5.08622e+21	1.20788e+07	1.91446e+34	1.39557e+02
7.09682e-03	4.74632e+21	1.20788e+07	1.78697e+34	1.39557e+02
7.26234e-03	4.42914e+21	1.20788e+07	1.66801e+34	1.39557e+02
7.43171e-03	4.13316e+21	1.20788e+07	1.55699e+34	1.39557e+02
7.60504e-03	3.85696e+21	1.20788e+07	1.45340e+34	1.39557e+02
7.78241e-03	3.59921e+21	1.20788e+07	1.35673e+34	1.39557e+02
7.96391e-03	3.35869e+21	1.20788e+07	1.26651e+34	1.39557e+02
8.14965e-03	3.13424e+21	1.20788e+07	1.18233e+34	1.39557e+02
8.33972e-03	2.92479e+21	1.20788e+07	1.10377e+34	1.39557e+02
8.53422e-03	2.72934e+21	1.20788e+07	1.03046e+34	1.39557e+02
8.73326e-03	2.54694e+21	1.20788e+07	9.62054e+33	1.39557e+02
8.93694e-03	2.37674e+21	1.20788e+07	8.98217e+33	1.39557e+02
9.14537e-03	2.21791e+21	1.20788e+07	8.38645e+33	1.39557e+02
9.35867e-03	2.06970e+21	1.20788e+07	7.83054e+33	1.39557e+02
9.57693e-03	1.93139e+21	1.20788e+07	7.31178e+33	1.39557e+02
9.80029e-03	1.80232e+21	1.20788e+07	6.82769e+33	1.39557e+02
1.00289e-02	1.68188e+21	1.20788e+07	6.37595e+33	1.39557e+02
1.02628e-02	1.56948e+21	1.20788e+07	5.95440e+33	1.39557e+02
1.05021e-02	1.46460e+21	1.20788e+07	5.56101e+33	1.39557e+02
1.07470e-02	1.36673e+21	1.20788e+07	5.19392e+33	1.39557e+02
1.09977e-02	1.27539e+21	1.20788e+07	4.85136e+33	1.39557e+02
1.12542e-02	1.19016e+21	1.20788e+07	4.53169e+33	1.39557e+02
1.15167e-02	1.11063e+21	1.20788e+07	4.23338e+33	1.39557e+02
1.17853e-02	1.03641e+21	1.20788e+07	3.95501e+33	1.39557e+02
1.20601e-02	9.67150e+20	1.20788e+07	3.69524e+33	1.39557e+02
1.23414e-02	9.02519e+20	1.20788e+07	3.45283e+33	1.39557e+02
1.26292e-02	8.42207e+20	1.20788e+07	3.22661e+33	1.39557e+02
1.29238e-02	7.85925e+20	1.20788e+07	3.01552e+33	1.39557e+02
1.32252e-02	7.33404e+20	1.20788e+07	2.81853e+33	1.39557e+02
1.35336e-02	6.84394e+20	1.20788e+07	2.63471e+33	1.39557e+02
1.38493e-02	6.38658e+20	1.20788e+07	2.46317e+33	1.39557e+02
1.41723e-02	5.95979e+20	1.20788e+07	2.30309e+33	1.39557e+02
1.45028e-02	5.56152e+20	1.20788e+07	2.15371e+33	1.39557e+02
1.48410e-02	5.18986e+20	1.20788e+07	2.01432e+33	1.39557e+02
1.51872e-02	4.84304e+20	1.20788e+07	1.88424e+33	1.39557e+02
1.55414e-02	4.51940e+20	1.20788e+07	1.76285e+33	1.39557e+02
1.59038e-02	4.21738e+20	1.20788e+07	1.64957e+33	1.39557e+02
1.62748e-02	3.93555e+20	1.20788e+07	1.54387e+33	1.39557e+02
1.66543e-02	3.67255e+20	1.20788e+07	1.44522e+33	1.39557e+02
1.70427e-02	3.42713e+20	1.20788e+07	1.35317e+33	1.39557e+02
1.74402e-02	3.19811e+20	1.20788e+07	1.26727e+33	1.39557e+02
1.78470e-02	2.98439e+20	1.20788e+07	1.18711e+33	1.39557e+02
1.82632e-02	2.78495e+20	1.20788e+07	1.11231e+33	1.39557e+02
1.86891e-02	2.59884e+20	1.20788e+07	1.04251e+33	1.39557e+02
1.91250e-02	2.42517e+20	1.20788e+07	9.77370e+32	1.39557e+02
1.95711e-02	2.26311e+20	1.20788e+07	9.16585e+32	1.39557e+02
2.00275e-02	2.11187e+20	1.20788e+07	8.59861e+32	1.39557e+02
2.04946e-02	1.97074e+20	1.20788e+07	8.06928e+32	1.39557e+02
2.09726e-02	1.83905e+20	1.20788e+07	7.57532e+32	1.39557e+02
