xWS	rho[g/cm^3]	n_e[pm^-3]	P[N/m^2]	mu_F_e[MeV]
4.79464e-03	5.16855e+21	1.51969e+06	4.27195e+30	6.96813e+01
4.90645e-03	4.82320e+21	1.51971e+06	4.27203e+30	6.96819e+01
5.02087e-03	4.50093e+21	1.51973e+06	4.27211e+30	6.96819e+01
5.13795e-03	4.20019e+21	1.51975e+06	4.27219e+30	6.96826e+01
5.25776e-03	3.91954e+21	1.51977e+06	4.27226e+30	6.96826e+01
5.38037e-03	3.65765e+21	1.51979e+06	4.27234e+30	6.96832e+01
5.50583e-03	3.41325e+21	1.51981e+06	4.27241e+30	6.96832e+01
5.63423e-03	3.18519e+21	1.51983e+06	4.27248e+30	6.96838e+01
5.76561e-03	2.97236e+21	1.51985e+06	4.27255e+30	6.96838e+01
5.90006e-03	2.77376e+21	1.51986e+06	4.27262e+30	6.96844e+01
6.03765e-03	2.58842e+21	1.51988e+06	4.27268e+30	6.96844e+01
6.17844e-03	2.41547e+21	1.51990e+06	4.27274e+30	6.96844e+01
6.32252e-03	2.25408e+21	1.51991e+06	4.27281e+30	6.96851e+01
6.46995e-03	2.10346e+21	1.51993e+06	4.27287e+30	6.96851e+01
6.62083e-03	1.96292e+21	1.51995e+06	4.27293e+30	6.96857e+01
6.77522e-03	1.83176e+21	1.51996e+06	4.27299e+30	6.96857e+01
6.93321e-03	1.70937e+21	1.51998e+06	4.27304e+30	6.96857e+01
7.09489e-03	1.59515e+21	1.51999e+06	4.27310e+30	6.96863e+01
7.26033e-03	1.48857e+21	1.52001e+06	4.27315e+30	6.96863e+01
7.42964e-03	1.38911e+21	1.52002e+06	4.27321e+30	6.96863e+01
7.60289e-03	1.29629e+21	1.52004e+06	4.27326e+30	6.96869e+01
7.78019e-03	1.20967e+21	1.52005e+06	4.27331e+30	6.96869e+01
7.96161e-03	1.12885e+21	1.52006e+06	4.27336e+30	6.96869e+01
8.14727e-03	1.05342e+21	1.52007e+06	4.27341e+30	6.96876e+01
8.33726e-03	9.83034e+20	1.52009e+06	4.27345e+30	6.96876e+01
8.53168e-03	9.17350e+20	1.52010e+06	4.27350e+30	6.96876e+01
8.73063e-03	8.56055e+20	1.52011e+06	4.27354e+30	6.96882e+01
8.93422e-03	7.98856e+20	1.52012e+06	4.27359e+30	6.96882e+01
9.14256e-03	7.45478e+20	1.52013e+06	4.27363e+30	6.96882e+01
9.35576e-03	6.95667e+20	1.52015e+06	4.27367e+30	6.96882e+01
9.57393e-03	6.49185e+20	1.52016e+06	4.27371e+30	6.96888e+01
9.79718e-03	6.05808e+20	1.52017e+06	4.27375e+30	6.96888e+01
1.00256e-02	5.65329e+20	1.52018e+06	4.27379e+30	6.96888e+01
1.02594e-02	5.27556e+20	1.52019e+06	4.27383e+30	6.96894e+01
1.04987e-02	4.92306e+20	1.52020e+06	4.27387e+30	6.96894e+01
1.07435e-02	4.59411e+20	1.52021e+06	4.27390e+30	6.96894e+01
1.09940e-02	4.28714e+20	1.52022e+06	4.27394e+30	6.96894e+01
1.12504e-02	4.00069e+20	1.52023e+06	4.27397e+30	6.96894e+01
1.15128e-02	3.73337e+20	1.52024e+06	4.27401e+30	6.96901e+01
1.17812e-02	3.48392e+20	1.52024e+06	4.27404e+30	6.96901e+01
1.20559e-02	3.25113e+20	1.52025e+06	4.27407e+30	6.96901e+01
1.23371e-02	3.03390e+20	1.52026e+06	4.27410e+30	6.96901e+01
1.26248e-02	2.83118e+20	1.52027e+06	4.27413e+30	6.96907e+01
1.29192e-02	2.64201e+20	1.52028e+06	4.27416e+30	6.96907e+01
1.32204e-02	2.46548e+20	1.52029e+06	4.27419e+30	6.96907e+01
1.35287e-02	2.30074e+20	1.52029e+06	4.27422e+30	6.96907e+01
1.38442e-02	2.14701e+20	1.52030e+06	4.27425e+30	6.96907e+01
1.41670e-02	2.00355e+20	1.52031e+06	4.27428e+30	6.96907e+01
1.44974e-02	1.86968e+20	1.52031e+06	4.27430e+30	6.96913e+01
1.48355e-02	1.74476e+20	1.52032e+06	4.27433e+30	6.96913e+01
1.51814e-02	1.62818e+20	1.52033e+06	4.27435e+30	6.96913e+01
1.55354e-02	1.51938e+20	1.52033e+06	4.27438e+30	6.96913e+01
1.58977e-02	1.41786e+20	1.52034e+06	4.27440e+30	6.96913e+01
1.62684e-02	1.32313e+20	1.52035e+06	4.27443e+30	6.96913e+01
1.66478e-02	1.23472e+20	1.52035e+06	4.27445e+30	6.96919e+01
1.70360e-02	1.15222e+20	1.52036e+06	4.27447e+30	6.96919e+01
1.74333e-02	1.07523e+20	1.52036e+06	4.27449e+30	6.96919e+01
1.78398e-02	1.00338e+20	1.52037e+06	4.27451e+30	6.96919e+01
1.82558e-02	9.36341e+19	1.52038e+06	4.27453e+30	6.96919e+01
1.86815e-02	8.73778e+19	1.52038e+06	4.27455e+30	6.96919e+01
1.91172e-02	8.15394e+19	1.52039e+06	4.27457e+30	6.96919e+01
1.95630e-02	7.60912e+19	1.52039e+06	4.27459e+30	6.96926e+01
2.00192e-02	7.10069e+19	1.52040e+06	4.27461e+30	6.96926e+01
2.04860e-02	6.62624e+19	1.52040e+06	4.27462e+30	6.96926e+01
2.09637e-02	6.18350e+19	1.52040e+06	4.27464e+30	6.96926e+01
2.14526e-02	5.77033e+19	1.52041e+06	4.27466e+30	6.96926e+01
2.19528e-02	5.38477e+19	1.52041e+06	4.27467e+30	6.96926e+01
2.24648e-02	5.02498e+19	1.52042e+06	4.27469e+30	6.96926e+01
2.29886e-02	4.68922e+19	1.52042e+06	4.27470e+30	6.96926e+01
2.35247e-02	4.37590e+19	1.52042e+06	4.27472e+30	6.96926e+01
2.40733e-02	4.08351e+19	1.52043e+06	4.27473e+30	6.96926e+01
