x	chi	dchidx	s0
9.828576295289721e-06	0.0	1.0	1
0.0010025147821195513	0.0009926862032889202	0.9999999924440166	1
0.001995200987943813	0.001985372391798152	0.9999999702286801	1
0.002987887193768075	0.0029780585509816397	0.9999999333604281	1
0.003980573399592337	0.003970744666293722	0.9999998818393415	1
0.004973259605416599	0.004963430723188772	0.9999998156654861	1
0.00596594581124086	0.005956116707121195	0.9999997348389137	1
0.006958632017065122	0.006948802603545424	0.9999996393596614	1
0.007951318222889385	0.007941488397915933	0.9999995292277526	1
0.008944004428713645	0.008934174075687213	0.9999994044431959	1
0.009936690634537906	0.009926859622313808	0.9999992650059859	1
0.010929376840362168	0.010919545023250272	0.999999110916103	1
0.011922063046186432	0.011912230263950456	0.9999989421735377	1
0.012914749252010692	0.012904915329868016	0.9999987587783048	1
0.013907435457834953	0.0138976002064576	0.9999985607304028	1
0.014900121663659215	0.014890284879173854	0.9999983480298302	1
0.015892807869483477	0.015882969333471404	0.9999981206765851	1
0.016885494075307737	0.016875653554804877	0.9999978786706654	1
0.017878180281132	0.017868337528628892	0.9999976220120689	1
0.01887086648695626	0.018861021240398054	0.9999973507007933	1
0.019863552692780524	0.019853704675566963	0.9999970647368364	1
0.020856238898604783	0.020846387819590202	0.9999967641201953	1
0.021848925104429047	0.021839070657922358	0.9999964488508677	1
0.022841611310253307	0.02283175317601801	0.9999961189288504	1
0.02383429751607757	0.02382443535933171	0.9999957743541407	1
0.024826983721901834	0.024817117193318014	0.9999954151267353	1
0.025819669927726094	0.02580979866343148	0.9999950412466311	1
0.026812356133550357	0.02680247975512663	0.9999946527138245	1
0.027805042339374617	0.027795160453858003	0.9999942495283122	1
0.02879772854519888	0.028787840745080118	0.9999938316900904	1
0.02979041475102314	0.02978052061424748	0.9999933991991553	1
0.0307831009568474	0.030773200046814605	0.9999929520555031	1
0.03177578716267166	0.03176587902823598	0.9999924902591295	1
0.03276847336849593	0.03275855754396609	0.9999920138100304	1
0.03376115957432019	0.0337512355794594	0.9999915227082016	1
0.03475384578014445	0.0347439131201704	0.9999910169536383	1
0.03574653198596871	0.03573659015155353	0.9999904965463362	1
0.036739218191792974	0.03672926665906326	0.9999899614862903	1
0.037731904397617234	0.037721942628154016	0.9999894117734957	1
0.038724590603441494	0.03871461804428024	0.9999888474079474	1
0.039717276809265754	0.03970729289289636	0.9999882683896403	1
0.040709963015090014	0.04069996715945676	0.999987674718569	1
0.04170264922091428	0.0416926408294159	0.999987066394728	1
0.04269533542673854	0.042685313888228146	0.9999864434181118	1
0.0436880216325628	0.04367798632134788	0.9999858057887147	1
0.04468070783838706	0.0446706581142295	0.9999851535065306	1
0.04567339404421133	0.04566332925232737	0.9999844865715537	1
0.04666608025003559	0.04665599972109587	0.9999838049837779	1
0.047658766455859855	0.04764866950598935	0.9999831087431967	1
0.048651452661684115	0.04864133859246214	0.9999823978498039	1
0.049644138867508375	0.04963400696596859	0.9999816723035928	1
0.05063682507333264	0.05062667461196302	0.9999809321045569	1
0.0516295112791569	0.05161934151589975	0.999980177252689	1
0.05262219748498116	0.05261200766323311	0.9999794077479823	1
0.05361488369080542	0.05360467303941738	0.9999786235904299	1
0.05460756989662968	0.054597337629906886	0.9999778247800243	1
0.05560025610245395	0.05559000142015587	0.9999770113167581	1
0.05659294230827821	0.05658266439561864	0.999976183200624	1
0.05758562851410247	0.05757532654174945	0.9999753404316141	1
0.05857831471992673	0.058567987844002564	0.9999744830097207	1
0.059571000925750996	0.05956064828783224	0.9999736109349359	1
0.060563687131575256	0.060553307858692715	0.9999727242072516	1
0.061556373337399516	0.061545966542038213	0.9999718228266595	1
0.06254905954322378	0.06253862432332295	0.9999709067931514	1
0.06354174574904804	0.06353128118800119	0.9999699761067186	1
0.0645344319548723	0.06452393712152708	0.9999690307673527	1
0.06552711816069656	0.06551659210935487	0.9999680707750448	1
0.06651980436652083	0.06650924613693869	0.999967096129786	1
0.06751249057234508	0.06750189918973279	0.9999661068315673	1
0.06850517677816935	0.0684945512531913	0.9999651028803795	1
0.0694978629839936	0.0694872023127684	0.9999640842762133	1
0.07049054918981787	0.07047985235391822	0.9999630510190592	1
0.07148323539564214	0.07147250136209497	0.9999620031089077	1
0.07247592160146639	0.07246514932275268	0.9999609405457489	1
0.07346860780729066	0.07345779622134559	0.9999598633295731	1
0.07446129401311491	0.07445044204332774	0.9999587714603703	1
0.07545398021893918	0.07544308677415328	0.9999576649381302	1
0.07644666642476344	0.0764357303992763	0.9999565437628426	1
0.0774393526305877	0.07742837290415093	0.9999554079344971	1
0.07843203883641196	0.07842101427423118	0.9999542574530832	1
0.07942472504223623	0.07941365449497119	0.99995309231859	1
0.08041741124806048	0.08040629355182502	0.9999519125310068	1
0.08141009745388475	0.08139893143024671	0.9999507180903227	1
0.082402783659709	0.08239156811569033	0.9999495089965265	1
0.08339546986553327	0.0833842035936099	0.9999482852496069	1
0.08438815607135754	0.08437683784945947	0.9999470468495526	1
0.08538084227718179	0.08536947086869304	0.9999457937963521	1
0.08637352848300606	0.08636210263676468	0.9999445260899936	1
0.08736621468883031	0.08735473313912834	0.9999432437304655	1
0.08835890089465458	0.08834736236123805	0.9999419467177557	1
0.08935158710047884	0.08933999028854778	0.9999406350518522	1
0.0903442733063031	0.09033261690651154	0.9999393087327427	1
0.09133695951212736	0.09132524220058327	0.999937967760415	1
0.09232964571795163	0.09231786615621694	0.9999366121348564	1
0.09332233192377588	0.09331048875886654	0.9999352418560545	1
0.09431501812960015	0.09430310999398597	0.9999338569239964	1
